Score,Lineup,score2
8.0,"['8', '2', '1', '5', '9', '6', '3', '7', '4']",5.903774962979551
1.0,"['8', '2', '1', '5', '9', '6', '3', '7', '4']",5.903774962979551
10.0,"['8', '2', '9', '5', '10', '3', '15', '4', '12']",5.520676640163035
1.0,"['8', '2', '1', '9', '6', '15', '7', '10', '4']",5.796570741466707
13.0,"['8', '2', '1', '5', '9', '7', '3', '11', '10']",6.611840685169224
5.0,"['8', '2', '1', '5', '9', '6', '7', '10', '11']",6.422241775599332
5.0,"['8', '2', '1', '5', '9', '6', '7', '10', '11']",6.422241775599332
3.0,"['8', '2', '9', '5', '3', '15', '7', '10', '12']",5.967044205276169
8.0,"['8', '2', '1', '5', '9', '7', '3', '11', '10']",6.611840685169224
6.0,"['8', '2', '6', '9', '5', '3', '7', '4', '12']",5.22452878911884
9.0,"['8', '2', '1', '5', '9', '11', '7', '6', '10']",6.424832294868664
0.0,"['8', '2', '1', '9', '15', '3', '10', '7', '4']",6.002173709269401
10.0,"['8', '2', '1', '5', '9', '7', '3', '6', '4']",5.91393498403518
2.0,"['8', '2', '9', '5', '15', '3', '4', '10', '12']",5.526859693159258
2.0,"['8', '2', '5', '9', '7', '3', '11', '4', '12']",5.632395127600575
2.0,"['8', '2', '9', '5', '15', '3', '7', '10', '12']",5.98515977893425
6.0,"['8', '2', '9', '10', '5', '3', '15', '4', '20']",5.517531821536094
5.0,"['7', '2', '9', '5', '11', '3', '6', '4', '12']",4.888412364803063
3.0,"['7', '2', '9', '5', '11', '3', '6', '21', '20']",4.216429933055858
6.0,"['7', '2', '9', '5', '15', '6', '3', '21', '12']",4.231116901103881
0.0,"['8', '2', '9', '5', '3', '7', '15', '21', '20']",4.870000498406649
9.0,"['8', '2', '5', '9', '11', '7', '6', '10', '12']",5.781510041585296
7.0,"['8', '2', '5', '9', '7', '11', '6', '3', '12']",5.699365642834756
8.0,"['8', '2', '11', '7', '3', '6', '16', '10', '12']",4.874364413920103
1.0,"['8', '2', '11', '7', '3', '16', '10', '6', '20']",4.8811177536800034
2.0,"['8', '2', '11', '7', '6', '10', '16', '15', '12']",5.031334939038846
7.0,"['8', '2', '1', '5', '11', '7', '3', '6', '12']",5.647868671229562
1.0,"['8', '2', '1', '10', '5', '3', '7', '15', '12']",5.920625572726903
6.0,"['8', '2', '1', '5', '11', '7', '3', '6', '10']",6.134972944020855
13.0,"['8', '2', '1', '5', '11', '7', '3', '6', '16']",5.740449998850203
13.0,"['8', '2', '1', '5', '10', '7', '3', '4', '12']",5.502006484540032
10.0,"['8', '2', '1', '5', '11', '7', '3', '6', '10']",6.134972944020855
2.0,"['8', '2', '1', '5', '11', '7', '3', '6', '4']",5.790193408239634
2.0,"['8', '2', '1', '10', '5', '3', '7', '15', '4']",6.062463440320705
5.0,"['8', '2', '1', '5', '11', '7', '3', '6', '10']",6.134972944020855
