Score,Lineup,score2
3.0,"['3', '5', '11', '7', '9', '16', '6', '12', '4']",3.4008534205728695
2.0,"['3', '5', '11', '7', '9', '16', '2', '1', '10']",3.549783607107999
2.0,"['3', '9', '11', '7', '6', '5', '8', '1', '4']",3.746336267839978
1.0,"['3', '9', '7', '16', '2', '8', '10', '12', '4']",3.765969409926754
1.0,"['3', '9', '11', '7', '16', '5', '6', '12', '10']",3.7956673815348876
1.0,"['3', '9', '11', '7', '16', '6', '5', '12', '10']",3.794095370375694
5.0,"['7', '9', '11', '16', '1', '8', '5', '10', '13']",3.693662382590852
3.0,"['3', '9', '11', '7', '16', '5', '8', '1', '10']",3.835401832594303
2.0,"['7', '11', '3', '9', '5', '16', '6', '1', '10']",3.6552494272873908
7.0,"['7', '11', '3', '6', '2', '16', '5', '1', '10']",3.254772290799059
3.0,"['7', '11', '3', '9', '6', '2', '5', '12', '10']",3.9442100490782295
8.0,"['7', '11', '3', '9', '6', '2', '5', '1', '10']",3.8542578102038823
3.0,"['7', '9', '3', '6', '2', '5', '8', '12', '10']",4.060243278313983
5.0,"['10', '11', '9', '6', '16', '2', '5', '12', '13']",3.4810236713235687
3.0,"['7', '10', '11', '6', '16', '8', '5', '1', '13']",3.350007127112679
0.0,"['7', '11', '3', '9', '6', '16', '5', '12', '10']",3.773751310567665
4.0,"['7', '11', '3', '6', '2', '5', '8', '1', '13']",3.6188714683609504
4.0,"['10', '11', '3', '9', '6', '7', '16', '12', '5']",3.809306442654284
2.0,"['7', '11', '3', '9', '6', '16', '10', '12', '13']",4.032216673250169
6.0,"['7', '9', '3', '6', '16', '5', '2', '12', '10']",3.6828660189129656
3.0,"['7', '11', '3', '9', '6', '8', '10', '1', '13']",4.358259935326844
4.0,"['10', '11', '9', '6', '16', '7', '5', '1', '13']",3.56128364590998
0.0,"['7', '11', '9', '6', '16', '5', '10', '12', '13']",3.630756920385811
4.0,"['7', '9', '6', '16', '5', '2', '10', '1', '13']",3.4703662615256277
4.0,"['7', '11', '9', '3', '16', '8', '10', '12', '13']",4.131688124076827
5.0,"['7', '11', '6', '3', '8', '5', '2', '1', '13']",3.626540593340941
3.0,"['7', '11', '9', '3', '16', '5', '8', '1', '10']",3.7599032448322753
7.0,"['7', '9', '3', '2', '6', '8', '5', '12', '13']",4.089752245795963
4.0,"['10', '11', '3', '9', '5', '7', '1', '6', '13']",3.9634335360581687
0.0,"['7', '9', '2', '3', '6', '8', '5', '12', '10']",4.07457268547646
6.0,"['7', '9', '2', '3', '8', '5', '13', '1', '10']",4.015963356117957
3.0,"['10', '9', '3', '2', '5', '13', '1', '6', '20']",3.5962460599083474
1.0,"['10', '9', '3', '2', '5', '7', '6', '12', '13']",3.9830120802505498
2.0,"['10', '9', '3', '2', '6', '7', '5', '1', '18']",3.7238380457714415
5.0,"['7', '9', '3', '8', '2', '6', '5', '12', '10']",4.0966545143239035
2.0,"['7', '9', '2', '3', '6', '5', '1', '8', '4']",3.615714006824892
6.0,"['7', '9', '3', '6', '8', '2', '4', '1', '10']",3.938823011218867
5.0,"['7', '9', '3', '8', '10', '4', '20', '12', '13']",3.9799170746846873
4.0,"['7', '9', '3', '2', '6', '5', '20', '12', '4']",3.439800098385853
5.0,"['7', '9', '3', '6', '8', '5', '2', '12', '4']",3.7395822880880942
3.0,"['10', '11', '3', '9', '6', '5', '20', '1', '13']",3.7333688584906417
5.0,"['13', '11', '3', '9', '6', '5', '20', '1', '4']",3.4398572128683926
4.0,"['10', '11', '3', '9', '6', '5', '2', '12', '13']",3.9082823835840883
5.0,"['5', '11', '3', '9', '6', '4', '20', '1', '18']",3.2635136550504162
3.0,"['5', '9', '3', '11', '6', '4', '20', '12', '13']",3.5019580687877587
1.0,"['10', '9', '3', '11', '6', '4', '1', '13', '18']",3.680985675413288
5.0,"['10', '9', '11', '6', '2', '1', '13', '20', '18']",3.5556444804241605
3.0,"['10', '3', '9', '11', '6', '5', '4', '12', '13']",3.7230406013151236
4.0,"['10', '9', '3', '11', '6', '2', '5', '1', '13']",3.82542620423442
10.0,"['10', '9', '3', '11', '6', '2', '4', '12', '17']",3.759650970116173
6.0,"['10', '9', '2', '6', '1', '5', '17', '13', '18']",3.4274086563096806
6.0,"['10', '9', '3', '11', '6', '2', '5', '1', '17']",3.727477687794988
8.0,"['17', '9', '3', '6', '2', '4', '10', '12', '18']",3.574508529221033
2.0,"['17', '9', '3', '11', '6', '2', '5', '1', '13']",3.7269953326914855
4.0,"['6', '9', '3', '11', '2', '5', '10', '12', '13']",3.8879678013977217
2.0,"['6', '9', '3', '2', '10', '5', '1', '13', '17']",3.7117833412738728
1.0,"['3', '9', '6', '8', '2', '1', '5', '17', '4']",3.532398219868573
4.0,"['3', '9', '6', '8', '2', '5', '10', '12', '13']",4.054748605126461
12.0,"['3', '9', '6', '8', '2', '5', '1', '4', '17']",3.528183733082419
7.0,"['3', '6', '8', '11', '2', '5', '4', '12', '17']",3.26813707588792
9.0,"['3', '6', '11', '8', '2', '1', '4', '10', '17']",3.435523954937056
6.0,"['3', '9', '6', '11', '8', '4', '5', '1', '17']",3.61385906844163
6.0,"['3', '6', '8', '2', '4', '5', '10', '12', '13']",3.3756608789291267
1.0,"['3', '9', '6', '8', '11', '4', '5', '1', '17']",3.6313286881784594
5.0,"['3', '9', '6', '8', '2', '4', '5', '12', '10']",3.7173665105266354
6.0,"['3', '9', '6', '8', '11', '4', '5', '1', '17']",3.6313286881784594
1.0,"['3', '9', '6', '11', '8', '5', '10', '1', '17']",3.9098584074274587
3.0,"['3', '9', '6', '11', '2', '5', '10', '12', '13']",3.9036939995569364
4.0,"['3', '9', '6', '11', '8', '5', '1', '10', '17']",3.91795722156311
6.0,"['3', '9', '6', '8', '2', '4', '10', '12', '17']",3.884151458672958
5.0,"['3', '9', '6', '11', '8', '4', '17', '1', '13']",3.8806099948428487
4.0,"['6', '9', '2', '11', '10', '1', '17', '13', '21']",3.3118673371540814
11.0,"['3', '9', '6', '8', '11', '4', '10', '12', '17']",3.967424633856707
0.0,"['3', '9', '6', '2', '11', '10', '1', '13', '21']",3.5129604186810637
