Score,Lineup,score2
0.0,"['6', '9', '4', '2', '1', '21', '19', '5', '3']",3.987995185881535
3.0,"['17', '4', '6', '1', '18', '2', '5', '11', '7']",3.8096918917149134
9.0,"['6', '9', '4', '2', '5', '19', '13', '3', '7']",4.024415551383502
10.0,"['6', '9', '4', '2', '1', '19', '5', '3', '7']",4.216060482725606
9.0,"['6', '9', '4', '2', '5', '19', '13', '3', '7']",4.024415551383502
7.0,"['17', '4', '6', '1', '18', '5', '9', '11', '7']",3.6699629019388684
4.0,"['6', '9', '4', '2', '1', '19', '5', '3', '7']",4.216060482725606
0.0,"['17', '4', '6', '1', '18', '5', '11', '7', '13']",3.8170841126617137
6.0,"['6', '9', '4', '2', '1', '19', '5', '3', '7']",4.216060482725606
0.0,"['6', '4', '2', '1', '5', '19', '18', '3', '7']",4.0015149037979345
7.0,"['6', '4', '2', '5', '19', '13', '3', '7', '17']",4.022267581644328
3.0,"['6', '4', '2', '1', '19', '18', '3', '7', '17']",3.877937336897551
4.0,"['6', '4', '2', '1', '19', '5', '18', '3', '17']",3.9632561609080255
11.0,"['6', '4', '1', '2', '5', '18', '17', '11', '7']",3.8033095791968283
3.0,"['6', '9', '4', '2', '5', '19', '13', '3', '7']",4.024415551383502
1.0,"['6', '4', '2', '1', '19', '5', '3', '17', '7']",4.217428332453415
7.0,"['6', '4', '1', '2', '5', '18', '19', '11', '7']",4.050456889922065
6.0,"['6', '9', '4', '2', '5', '19', '13', '3', '11']",3.990899161548527
5.0,"['17', '4', '1', '9', '5', '18', '11', '7', '3']",3.2682233042072486
3.0,"['6', '9', '4', '2', '1', '5', '3', '11', '7']",3.9436485610204643
5.0,"['6', '9', '4', '2', '1', '5', '3', '7', '16']",4.138401718058553
5.0,"['6', '9', '4', '2', '5', '13', '3', '7', '16']",3.9507152731117383
2.0,"['17', '4', '1', '5', '18', '11', '7', '16', '3']",3.4630922989449275
3.0,"['6', '9', '4', '2', '1', '5', '3', '11', '7']",3.9436485610204643
6.0,"['6', '9', '4', '2', '5', '13', '3', '17', '7']",3.764555988491063
2.0,"['6', '4', '1', '17', '5', '18', '2', '11', '7']",3.8087688620577325
7.0,"['6', '4', '1', '17', '5', '18', '13', '11', '7']",3.8235521171104194
0.0,"['17', '4', '1', '5', '2', '18', '11', '7', '16']",3.645953669357347
2.0,"['6', '9', '4', '2', '1', '5', '3', '8', '7']",3.968871047230639
1.0,"['6', '4', '1', '17', '2', '18', '8', '11', '7']",3.748070445300048
6.0,"['6', '9', '4', '2', '5', '13', '3', '8', '7']",3.786828197124359
4.0,"['1', '11', '4', '6', '5', '18', '13', '8', '7']",3.8159555290756506
1.0,"['6', '9', '4', '2', '1', '5', '3', '11', '7']",3.9436485610204643
7.0,"['6', '9', '4', '2', '1', '5', '3', '8', '7']",3.968871047230639
9.0,"['6', '9', '4', '2', '1', '5', '3', '8', '7']",3.968871047230639
2.0,"['6', '9', '4', '2', '5', '13', '3', '8', '7']",3.786828197124359
1.0,"['11', '1', '4', '6', '17', '5', '18', '8', '7']",3.7841174337277117
5.0,"['11', '1', '4', '6', '5', '18', '2', '8', '7']",3.8662900901987065
4.0,"['6', '9', '4', '2', '1', '5', '3', '11', '7']",3.9436485610204643
9.0,"['6', '9', '4', '2', '11', '13', '3', '8', '7']",3.6717549728505268
1.0,"['6', '9', '4', '2', '1', '5', '3', '8', '7']",3.968871047230639
3.0,"['11', '1', '4', '17', '24', '5', '8', '3', '7']",3.5161210938135974
0.0,"['11', '1', '4', '24', '5', '8', '13', '7', '3']",3.6297236082515196
0.0,"['11', '1', '6', '4', '24', '5', '17', '8', '7']",3.914173795466741
4.0,"['6', '9', '4', '2', '5', '13', '11', '3', '8']",3.749153972654528
6.0,"['11', '1', '6', '4', '24', '2', '5', '7', '3']",3.964728244140511
2.0,"['6', '9', '4', '2', '1', '5', '3', '11', '8']",3.9291523265662835
6.0,"['6', '9', '4', '2', '5', '11', '3', '13', '7']",3.761892042213907
4.0,"['6', '4', '2', '11', '1', '9', '5', '3', '7']",3.920146424554124
0.0,"['11', '24', '4', '6', '5', '13', '2', '7', '3']",3.770332006303426
1.0,"['24', '1', '4', '6', '11', '5', '17', '8', '7']",3.9376701770648213
1.0,"['6', '11', '2', '5', '9', '8', '3', '13', '7']",3.5652885490878776
7.0,"['6', '11', '1', '2', '5', '8', '3', '24', '7']",3.751231483756463
2.0,"['24', '11', '1', '6', '5', '17', '7', '8', '10']",3.793574419624217
4.0,"['6', '11', '2', '1', '5', '25', '3', '13', '7']",4.995029383222686
1.0,"['6', '11', '2', '1', '5', '10', '3', '8', '7']",3.8141442276160746
5.0,"['24', '11', '1', '6', '5', '10', '7', '13', '17']",3.8881913416107086
10.0,"['6', '11', '2', '1', '5', '23', '10', '7', '16']",3.5886156981988497
5.0,"['6', '11', '2', '23', '10', '16', '3', '13', '7']",3.2299886521405528
0.0,"['11', '10', '1', '6', '5', '21', '2', '7', '16']",3.943089464550998
4.0,"['6', '23', '1', '2', '5', '25', '21', '3', '7']",4.123215534166073
10.0,"['6', '4', '2', '11', '23', '5', '10', '13', '7']",3.4564010413234563
3.0,"['6', '4', '2', '1', '11', '23', '5', '21', '7']",3.410257296169281
2.0,"['11', '4', '1', '6', '7', '5', '16', '10', '21']",4.044107603631184
1.0,"['6', '4', '2', '11', '23', '5', '7', '13', '10']",3.4533014217180096
6.0,"['11', '7', '1', '4', '6', '21', '5', '16', '10']",3.9874111691101675
5.0,"['6', '4', '2', '11', '23', '5', '21', '13', '7']",3.2449105174449686
2.0,"['6', '4', '2', '11', '1', '23', '5', '21', '7']",3.386150553951865
5.0,"['11', '1', '6', '4', '21', '5', '16', '7', '10']",4.050320223602613
5.0,"['6', '9', '4', '2', '21', '22', '5', '13', '7']",3.6120006927098927
5.0,"['6', '9', '4', '2', '1', '11', '22', '21', '7']",3.695565751311314
1.0,"['6', '9', '4', '2', '11', '22', '5', '13', '7']",3.7592965625545887
7.0,"['6', '1', '2', '4', '9', '5', '21', '16', '7']",4.0366918507697465
1.0,"['6', '1', '4', '2', '11', '5', '22', '21', '7']",3.840637715069307
7.0,"['6', '1', '2', '4', '9', '5', '22', '21', '7']",3.8109474218917456
2.0,"['6', '1', '2', '4', '9', '5', '22', '21', '7']",3.8109474218917456
5.0,"['6', '11', '4', '2', '5', '13', '10', '16', '7']",4.074754911482721
2.0,"['6', '1', '2', '4', '11', '9', '21', '16', '7']",3.9281141110572646
2.0,"['16', '1', '6', '4', '11', '21', '5', '7', '10']",4.051863384626928
5.0,"['6', '1', '2', '4', '9', '11', '5', '16', '7']",4.20871337492031
3.0,"['6', '9', '4', '2', '5', '13', '3', '16', '7']",3.949092106500497
7.0,"['6', '1', '2', '4', '11', '3', '16', '7', '22']",4.002691850622951
11.0,"['6', '9', '4', '2', '13', '5', '3', '16', '22']",3.866826499633027
6.0,"['10', '1', '4', '11', '16', '5', '3', '7', '22']",3.716136016257506
8.0,"['1', '6', '4', '11', '16', '10', '7', '13', '3']",4.145643311291646
6.0,"['6', '9', '1', '2', '4', '11', '16', '3', '7']",4.049611208437735
3.0,"['6', '1', '4', '11', '26', '16', '5', '10', '7']",4.053915321645416
6.0,"['6', '4', '9', '11', '22', '5', '13', '3', '7']",3.5698763722487286
7.0,"['6', '1', '4', '11', '16', '10', '5', '13', '7']",4.308588166304894
5.0,"['6', '1', '4', '11', '22', '16', '5', '3', '7']",3.986507014805906
1.0,"['6', '1', '4', '9', '11', '22', '5', '3', '7']",3.764163494578315
1.0,"['6', '1', '4', '11', '13', '10', '3', '8', '7']",3.9465039491966603
3.0,"['6', '1', '4', '11', '8', '16', '10', '3', '7']",4.036189948850553
4.0,"['6', '1', '4', '9', '11', '22', '10', '3', '7']",3.719831576597552
3.0,"['6', '1', '4', '9', '11', '22', '10', '3', '7']",3.719831576597552
5.0,"['6', '1', '4', '11', '8', '26', '10', '16', '7']",4.015335259312812
4.0,"['6', '1', '4', '11', '13', '22', '10', '3', '16']",4.067272846757794
4.0,"['6', '1', '4', '9', '13', '10', '3', '16', '7']",4.11645568210179
4.0,"['6', '1', '4', '9', '10', '14', '11', '3', '16']",4.147340495021179
2.0,"['6', '1', '4', '14', '10', '13', '11', '3', '16']",4.314543414780259
3.0,"['6', '1', '4', '14', '10', '11', '3', '26', '7']",3.870513537641599
3.0,"['6', '1', '4', '10', '7', '11', '13', '26', '16']",4.10882583515347
3.0,"['6', '1', '4', '14', '10', '25', '8', '3', '7']",5.208105285261066
7.0,"['6', '1', '4', '14', '10', '25', '8', '3', '7']",5.208105285261066
5.0,"['6', '1', '12', '14', '4', '10', '13', '3', '7']",4.4205644796849555
6.0,"['6', '1', '12', '14', '4', '10', '25', '3', '16']",5.691809353045539
3.0,"['6', '1', '12', '14', '4', '10', '13', '3', '7']",4.4205644796849555
6.0,"['6', '1', '12', '4', '14', '15', '10', '3', '7']",4.510398508771701
2.0,"['6', '1', '12', '4', '15', '8', '10', '3', '7']",4.353020953539114
14.0,"['6', '1', '12', '4', '14', '15', '10', '3', '7']",4.510398508771701
4.0,"['6', '1', '12', '4', '14', '15', '5', '3', '7']",4.553326424413571
3.0,"['6', '1', '12', '4', '8', '10', '13', '3', '7']",4.274259176445673
1.0,"['6', '1', '12', '4', '14', '15', '10', '3', '7']",4.510398508771701
12.0,"['6', '1', '12', '14', '15', '10', '3', '5', '8']",4.363460963870528
3.0,"['6', '1', '15', '8', '10', '7', '13', '3', '5']",4.122003852556687
7.0,"['6', '1', '15', '14', '4', '10', '3', '8', '16']",4.425978290499206
7.0,"['6', '1', '12', '14', '4', '10', '3', '13', '7']",4.412331645274481
3.0,"['6', '1', '12', '14', '4', '15', '10', '3', '8']",4.4898040697500425
7.0,"['6', '1', '12', '14', '4', '15', '10', '3', '8']",4.4898040697500425
2.0,"['6', '1', '12', '14', '4', '15', '10', '3', '8']",4.4898040697500425
1.0,"['6', '1', '12', '15', '4', '10', '14', '7', '5']",4.703987818551228
0.0,"['6', '1', '12', '14', '4', '10', '13', '3', '8']",4.3908863320105205
9.0,"['6', '1', '12', '15', '4', '10', '7', '3', '8']",4.3254154431120995
6.0,"['6', '1', '12', '14', '4', '2', '10', '3', '8']",4.376922730045796
6.0,"['6', '15', '12', '4', '2', '10', '13', '3', '8']",4.215411563148931
7.0,"['6', '1', '12', '4', '15', '8', '3', '5', '7']",4.392118407605958
8.0,"['6', '1', '12', '4', '15', '10', '3', '13', '8']",4.419553469552934
7.0,"['6', '1', '12', '4', '2', '15', '10', '3', '8']",4.417413389686583
5.0,"['6', '1', '12', '14', '4', '15', '3', '10', '8']",4.485854910364052
10.0,"['6', '1', '12', '14', '4', '15', '3', '10', '8']",4.485854910364052
