Score,Lineup,score2
2.0,"['8', '4', '9', '16', '17', '18', '6', '1', '7']",3.790734527360147
2.0,"['8', '4', '9', '16', '17', '18', '6', '1', '7']",3.790734527360147
7.0,"['8', '4', '9', '16', '17', '18', '6', '13', '7']",4.1636555606190235
11.0,"['8', '4', '9', '16', '17', '18', '6', '1', '7']",3.790734527360147
0.0,"['18', '4', '16', '17', '6', '2', '10', '1', '7']",3.6453989657851396
2.0,"['9', '4', '2', '17', '11', '13', '10', '16', '7']",4.254516291628272
3.0,"['9', '4', '16', '17', '2', '11', '6', '1', '7']",4.005708231680828
9.0,"['9', '4', '16', '17', '18', '2', '11', '1', '7']",3.42786411499439
1.0,"['9', '16', '17', '2', '18', '11', '15', '13', '7']",4.011717623023871
3.0,"['16', '17', '2', '18', '11', '15', '10', '1', '7']",3.535870301206831
4.0,"['2', '9', '16', '17', '18', '11', '15', '1', '7']",3.6520645112453907
3.0,"['2', '9', '17', '18', '13', '16', '11', '3', '7']",4.08102157650399
11.0,"['3', '4', '9', '16', '17', '2', '18', '1', '7']",3.7460956552509894
4.0,"['9', '4', '2', '17', '13', '21', '10', '3', '7']",4.437434672846357
1.0,"['3', '4', '9', '16', '17', '2', '8', '1', '7']",4.372302682217926
0.0,"['3', '4', '9', '16', '17', '2', '8', '1', '7']",4.372302682217926
4.0,"['2', '4', '9', '17', '21', '1', '7', '8', '10']",3.876669176929293
10.0,"['8', '4', '9', '16', '3', '17', '6', '13', '7']",4.982042373085413
5.0,"['8', '4', '3', '16', '6', '17', '18', '1', '10']",4.178527598264351
2.0,"['8', '4', '9', '16', '12', '17', '6', '13', '7']",4.779747444670647
4.0,"['9', '6', '4', '8', '12', '16', '17', '1', '7']",4.393500904459028
3.0,"['2', '4', '9', '17', '13', '12', '6', '10', '7']",4.545809943046148
6.0,"['8', '4', '12', '9', '16', '17', '6', '1', '7']",4.377591841831682
6.0,"['2', '4', '12', '9', '17', '13', '10', '16', '7']",4.491196871370879
6.0,"['8', '4', '16', '17', '6', '2', '18', '1', '10']",3.7478429429366735
7.0,"['9', '4', '12', '16', '17', '6', '1', '8', '7']",4.3711089220618895
8.0,"['8', '4', '12', '9', '16', '17', '6', '1', '7']",4.377591841831682
2.0,"['8', '4', '12', '9', '16', '17', '6', '13', '7']",4.79218767769861
8.0,"['8', '12', '4', '9', '16', '6', '18', '10', '1']",4.255516261282521
2.0,"['9', '12', '4', '16', '17', '8', '6', '1', '7']",4.38143534063698
4.0,"['8', '12', '4', '9', '16', '6', '18', '10', '13']",4.6562640612049515
7.0,"['8', '4', '9', '12', '2', '17', '6', '1', '7']",4.24079181008841
2.0,"['8', '4', '12', '9', '6', '2', '18', '17', '1']",3.8984391074559515
3.0,"['9', '12', '4', '2', '17', '8', '10', '13', '7']",4.512582129401415
0.0,"['8', '4', '12', '9', '14', '6', '17', '18', '1']",4.003063824755099
1.0,"['8', '4', '9', '14', '12', '17', '6', '1', '7']",4.346939092517642
4.0,"['9', '8', '4', '14', '12', '11', '6', '1', '7']",4.606094470188198
5.0,"['9', '8', '4', '14', '12', '18', '11', '6', '13']",4.553546904314635
2.0,"['9', '2', '4', '11', '12', '10', '7', '1', '18']",3.7630488410339322
11.0,"['6', '14', '4', '12', '16', '18', '11', '10', '13']",4.480463777138824
16.0,"['6', '14', '4', '9', '12', '16', '11', '18', '1']",4.1405081926868785
8.0,"['6', '14', '4', '9', '12', '16', '11', '18', '1']",4.1405081926868785
5.0,"['2', '4', '9', '11', '14', '13', '7', '6', '10']",4.734034697226356
3.0,"['6', '14', '4', '9', '12', '16', '18', '10', '1']",4.1700582399916755
4.0,"['2', '4', '9', '11', '21', '13', '10', '16', '7']",4.46168411097188
6.0,"['2', '4', '9', '11', '21', '10', '6', '7', '1']",4.138184982230688
2.0,"['6', '4', '14', '3', '11', '16', '10', '2', '13']",5.266108696349366
1.0,"['14', '4', '9', '3', '11', '10', '6', '7', '1']",4.660997519497955
3.0,"['6', '2', '14', '9', '3', '11', '10', '1', '7']",4.65249325894364
