Score,Lineup,score2
5.0,"['7', '8', '4', '2', '3', '6', '9', '16', '13']",4.337088791045201
1.0,"['7', '8', '4', '2', '6', '3', '16', '10', '21']",3.814064475876715
6.0,"['7', '4', '3', '2', '9', '6', '15', '16', '13']",4.42973728565506
5.0,"['10', '8', '4', '2', '6', '3', '16', '21', '19']",3.5388261107062498
0.0,"['7', '8', '4', '2', '3', '6', '9', '13', '15']",4.219223659482441
0.0,"['7', '8', '4', '2', '10', '6', '3', '16', '21']",3.8526728836233173
6.0,"['7', '8', '4', '2', '9', '3', '6', '13', '15']",4.215603842639516
9.0,"['7', '8', '4', '2', '3', '6', '9', '16', '21']",3.795697975667921
5.0,"['7', '8', '4', '2', '6', '3', '10', '16', '21']",3.8497155517883876
2.0,"['10', '8', '4', '2', '6', '3', '16', '1', '19']",4.225538565646859
5.0,"['7', '4', '3', '2', '9', '6', '15', '16', '21']",3.874650873377937
2.0,"['7', '8', '4', '2', '6', '3', '10', '16', '1']",4.569941229677691
5.0,"['7', '8', '4', '2', '6', '3', '10', '16', '21']",3.8497155517883876
17.0,"['7', '8', '4', '2', '3', '9', '16', '15', '21']",3.608629890062809
3.0,"['7', '8', '4', '2', '3', '6', '9', '15', '1']",4.40380363625753
4.0,"['7', '8', '4', '2', '6', '10', '3', '16', '1']",4.575717677128619
8.0,"['7', '8', '4', '2', '3', '6', '9', '5', '21']",3.65246599115064
0.0,"['7', '8', '4', '2', '6', '3', '10', '16', '21']",3.8497155517883876
5.0,"['7', '8', '4', '2', '3', '9', '5', '1', '15']",4.184882766707487
9.0,"['7', '6', '4', '2', '10', '3', '16', '15', '21']",3.957289472668689
7.0,"['7', '4', '3', '2', '9', '6', '5', '1', '15']",4.472289586511089
4.0,"['7', '8', '4', '2', '3', '6', '9', '5', '21']",3.65246599115064
4.0,"['7', '8', '4', '2', '3', '9', '5', '1', '15']",4.184882766707487
0.0,"['7', '8', '4', '2', '3', '9', '5', '15', '1']",4.17295701272388
1.0,"['7', '8', '4', '2', '6', '3', '10', '16', '21']",3.8497155517883876
9.0,"['7', '8', '4', '2', '3', '9', '6', '5', '1']",4.371281480914725
0.0,"['7', '8', '4', '2', '3', '6', '10', '5', '1']",4.432625199651776
8.0,"['7', '8', '4', '2', '3', '9', '5', '15', '21']",3.4659776041701678
5.0,"['7', '8', '4', '2', '3', '9', '6', '5', '1']",4.371281480914725
5.0,"['7', '8', '4', '2', '10', '3', '6', '5', '21']",3.7062282227661374
1.0,"['7', '4', '3', '2', '9', '6', '5', '15', '1']",4.456253984480163
0.0,"['7', '8', '4', '2', '10', '3', '6', '16', '1']",4.5696482335813835
1.0,"['7', '8', '4', '2', '3', '5', '10', '9', '21']",3.7923649876514336
2.0,"['7', '8', '4', '2', '10', '5', '6', '16', '1']",4.457736048967569
6.0,"['7', '4', '3', '2', '5', '9', '6', '15', '1']",4.463890124007306
6.0,"['7', '4', '3', '2', '5', '8', '9', '6', '1']",4.406540351436599
2.0,"['7', '4', '3', '2', '5', '8', '9', '15', '1']",4.204500460002907
0.0,"['7', '4', '3', '2', '5', '8', '9', '6', '1']",4.406540351436599
3.0,"['7', '4', '3', '2', '10', '8', '6', '16', '1']",4.582150561906531
2.0,"['7', '3', '4', '2', '5', '8', '9', '15', '23']",4.573905541005269
8.0,"['7', '3', '4', '2', '5', '8', '6', '10', '1']",4.461568042662887
3.0,"['7', '4', '2', '10', '6', '8', '3', '16', '1']",4.572380997340839
5.0,"['7', '4', '3', '2', '10', '8', '5', '6', '1']",4.443803384508456
8.0,"['7', '16', '4', '2', '10', '8', '6', '11', '1']",4.438846969933535
3.0,"['7', '4', '3', '2', '5', '10', '9', '16', '23']",5.143873213001848
10.0,"['7', '4', '3', '2', '5', '8', '11', '6', '1']",4.039505526936493
5.0,"['7', '4', '3', '2', '5', '8', '9', '24', '16']",3.611244296980167
2.0,"['7', '4', '3', '2', '5', '6', '11', '10', '1']",4.442751377942349
2.0,"['7', '16', '4', '2', '11', '8', '5', '10', '24']",3.5788568204534847
2.0,"['7', '4', '3', '2', '5', '8', '9', '6', '1']",4.406540351436599
10.0,"['7', '4', '3', '2', '5', '8', '9', '6', '1']",4.406540351436599
5.0,"['7', '4', '3', '2', '5', '8', '9', '10', '1']",4.582953347820313
7.0,"['7', '4', '3', '2', '5', '8', '6', '11', '1']",4.034344648516408
10.0,"['7', '1', '4', '2', '11', '8', '10', '6', '16']",4.489410401617873
2.0,"['7', '1', '4', '2', '11', '8', '3', '10', '16']",4.377324474189438
4.0,"['7', '4', '3', '2', '5', '8', '9', '6', '21']",3.654772222299631
4.0,"['7', '4', '3', '2', '5', '8', '9', '6', '1']",4.406540351436599
0.0,"['7', '4', '3', '2', '5', '8', '11', '6', '1']",4.039505526936493
1.0,"['7', '4', '3', '2', '5', '8', '9', '6', '21']",3.654772222299631
