Score,Lineup,score2
5.0,"['5', '8', '2', '9', '16', '3', '6', '13', '4']",4.621468422080326
5.0,"['5', '8', '2', '9', '16', '3', '6', '13', '4']",4.621468422080326
6.0,"['3', '8', '2', '9', '16', '6', '10', '1', '4']",4.671314275675505
8.0,"['5', '8', '2', '9', '3', '21', '19', '13', '4']",4.50644327162118
1.0,"['5', '8', '3', '9', '16', '19', '10', '1', '4']",4.7539712918155494
4.0,"['5', '8', '2', '3', '16', '6', '21', '13', '4']",4.548872193744094
6.0,"['5', '8', '2', '9', '3', '6', '13', '21', '4']",4.446771284464626
4.0,"['5', '8', '2', '9', '3', '6', '19', '1', '4']",4.482133979994289
5.0,"['5', '8', '2', '9', '3', '6', '13', '21', '4']",4.446771284464626
2.0,"['3', '8', '2', '9', '14', '13', '21', '10', '4']",4.55450726515454
11.0,"['5', '8', '2', '3', '14', '6', '21', '13', '19']",4.318074697488724
4.0,"['4', '8', '2', '9', '21', '6', '10', '1', '19']",4.16510104866753
2.0,"['3', '8', '2', '9', '14', '6', '21', '1', '4']",4.621127243738501
3.0,"['4', '8', '2', '9', '3', '21', '6', '13', '10']",4.370389303105831
6.0,"['5', '8', '2', '9', '3', '21', '6', '1', '4']",4.711130195709403
2.0,"['4', '8', '2', '3', '5', '14', '6', '13', '19']",4.287933372473021
2.0,"['4', '8', '2', '3', '5', '12', '10', '1', '19']",4.216401133263397
3.0,"['4', '8', '2', '3', '5', '14', '6', '13', '21']",4.416699210486349
9.0,"['4', '8', '2', '3', '5', '12', '6', '13', '10']",4.057608328972687
1.0,"['4', '8', '2', '3', '5', '12', '6', '1', '10']",4.249325834623706
3.0,"['4', '8', '2', '3', '14', '21', '13', '6', '12']",4.186078867101317
1.0,"['4', '8', '2', '3', '5', '6', '12', '1', '10']",4.249173610237589
1.0,"['4', '8', '2', '3', '5', '21', '6', '13', '19']",4.2518137710796315
2.0,"['4', '2', '8', '5', '14', '12', '21', '13', '19']",4.006494187541798
12.0,"['4', '8', '2', '5', '3', '14', '10', '1', '6']",4.63108986071504
4.0,"['4', '8', '2', '5', '3', '12', '10', '13', '19']",4.020754043802973
2.0,"['5', '2', '3', '14', '12', '6', '21', '19', '1']",3.36882551345212
0.0,"['4', '2', '3', '5', '14', '6', '13', '11', '10']",3.6291477475722864
2.0,"['4', '12', '2', '5', '3', '6', '10', '1', '19']",3.2055097184110957
2.0,"['4', '2', '3', '5', '14', '12', '10', '6', '13']",3.3190413836602013
4.0,"['4', '3', '2', '5', '7', '14', '6', '13', '19']",3.329402261199217
4.0,"['4', '3', '2', '5', '14', '7', '11', '10', '1']",3.8757941081870007
4.0,"['4', '2', '3', '5', '14', '7', '11', '13', '6']",3.6154424680096047
3.0,"['4', '2', '3', '5', '14', '11', '10', '19', '1']",3.8142554117895195
7.0,"['4', '3', '2', '5', '7', '10', '6', '13', '19']",3.1844644766684347
7.0,"['4', '3', '2', '5', '7', '10', '6', '13', '19']",3.1844644766684347
10.0,"['4', '8', '2', '3', '7', '11', '6', '13', '19']",4.062690340227756
11.0,"['4', '8', '2', '5', '3', '7', '10', '1', '6']",4.407737043234292
2.0,"['4', '8', '2', '5', '3', '11', '7', '13', '14']",4.6111680349479665
6.0,"['3', '8', '2', '5', '7', '10', '4', '13', '6']",4.2095200285711805
9.0,"['3', '8', '2', '5', '7', '10', '4', '11', '1']",4.613867289927253
7.0,"['11', '8', '2', '5', '7', '14', '4', '13', '6']",4.190209610883527
7.0,"['11', '8', '2', '3', '14', '4', '6', '1', '19']",4.449263878175249
6.0,"['3', '8', '7', '5', '11', '4', '6', '10', '13']",4.261448014592008
0.0,"['3', '8', '2', '5', '11', '7', '14', '13', '6']",4.467116549472095
4.0,"['3', '8', '2', '5', '7', '6', '4', '1', '19']",4.256822861190769
6.0,"['11', '8', '2', '3', '14', '4', '6', '1', '19']",4.449263878175249
7.0,"['3', '8', '2', '5', '7', '11', '4', '10', '18']",4.5091467917160815
4.0,"['3', '2', '5', '14', '7', '11', '4', '10', '1']",3.849273727896618
6.0,"['3', '8', '2', '5', '7', '14', '4', '1', '6']",4.5523662278554795
6.0,"['3', '8', '2', '5', '7', '11', '4', '10', '1']",4.648220733898523
1.0,"['3', '8', '2', '7', '14', '4', '6', '18', '24']",4.377750713416928
1.0,"['3', '8', '2', '5', '7', '14', '4', '10', '18']",4.510672815555458
3.0,"['3', '8', '2', '5', '7', '10', '6', '1', '4']",4.376192491666197
10.0,"['3', '8', '2', '5', '7', '14', '10', '1', '4']",4.644515105843771
10.0,"['3', '8', '14', '5', '7', '11', '10', '1', '6']",4.5649242261431
10.0,"['3', '8', '14', '5', '10', '11', '4', '13', '24']",4.725813580745887
0.0,"['3', '8', '14', '5', '10', '11', '4', '1', '24']",4.918760794939527
4.0,"['3', '8', '2', '9', '16', '10', '4', '13', '24']",4.72943522295637
6.0,"['3', '8', '2', '16', '5', '11', '10', '13', '4']",4.692025279652799
4.0,"['3', '2', '9', '14', '5', '11', '10', '1', '4']",4.061190553662804
2.0,"['3', '9', '2', '16', '4', '14', '10', '13', '11']",3.8946734317646703
5.0,"['14', '3', '2', '9', '11', '5', '6', '15', '1']",4.149527401472484
