Score,Lineup,score2,vari
9.0,"['8', '5', '9', '6', '10', '2', '3', '12', '4']",4.539437518775843,10.525056285064135
9.0,"['8', '5', '9', '6', '10', '2', '3', '12', '4']",4.539437518775843,10.525056285064135
9.0,"['11', '5', '9', '6', '10', '8', '3', '4', '1']",4.272868012224155,9.882423723462466
6.0,"['8', '5', '9', '6', '10', '2', '3', '4', '1']",4.5485152592560585,10.45011227918004
1.0,"['8', '5', '9', '6', '10', '2', '4', '12', '16']",4.419451186820151,9.963393416568003
1.0,"['8', '5', '9', '6', '2', '3', '18', '16', '1']",4.237117545035181,9.559642344217671
6.0,"['8', '5', '9', '6', '10', '2', '3', '12', '4']",4.539437518775843,10.525056285064135
14.0,"['11', '5', '9', '6', '10', '8', '3', '4', '1']",4.272868012224155,9.882423723462466
4.0,"['11', '5', '9', '8', '10', '3', '4', '2', '1']",4.565605461837308,10.67059568458647
0.0,"['4', '5', '9', '6', '11', '8', '3', '2', '1']",4.399102866396769,10.370347688189526
2.0,"['4', '5', '9', '6', '11', '8', '3', '21', '1']",3.8301007880959896,8.744452118489548
7.0,"['8', '5', '9', '2', '18', '21', '12', '16', '4']",3.987880973480766,8.95436649082234
3.0,"['8', '9', '11', '2', '21', '4', '12', '16', '3']",3.5894815331622594,8.102438770236247
5.0,"['8', '9', '11', '5', '4', '3', '2', '1', '16']",4.043457253686211,9.21963264240318
9.0,"['8', '9', '11', '5', '4', '3', '2', '1', '16']",4.043457253686211,9.21963264240318
2.0,"['8', '9', '11', '5', '4', '6', '3', '1', '16']",3.758068012501356,8.431477254107893
4.0,"['18', '5', '11', '6', '2', '4', '12', '3', '7']",4.381889944959368,10.5286647521343
5.0,"['8', '5', '9', '6', '4', '2', '1', '7', '16']",4.347677344946957,9.901890336105684
4.0,"['8', '18', '9', '5', '4', '12', '2', '7', '15']",4.692445717527461,11.235806802820285
11.0,"['8', '5', '9', '6', '4', '2', '1', '7', '16']",4.347677344946957,9.901890336105684
5.0,"['8', '5', '9', '6', '4', '2', '12', '7', '16']",4.337564625487546,9.938251470045156
4.0,"['8', '9', '11', '5', '4', '6', '3', '1', '16']",3.758068012501356,8.431477254107893
12.0,"['8', '5', '9', '6', '4', '2', '7', '1', '16']",4.3770159324768825,9.973731205901547
4.0,"['8', '5', '9', '6', '4', '2', '7', '1', '16']",4.3770159324768825,9.973731205901547
8.0,"['8', '5', '9', '6', '4', '2', '7', '3', '12']",4.487277538724883,10.565252186909468
2.0,"['8', '5', '9', '6', '4', '2', '7', '15', '1']",4.745377757328365,11.192764270056262
2.0,"['8', '6', '9', '5', '2', '7', '4', '12', '15']",4.768002058476627,11.273140140465213
8.0,"['8', '6', '9', '5', '7', '18', '15', '3', '1']",4.365630370291529,10.105918884335285
7.0,"['8', '9', '11', '5', '6', '3', '1', '7', '15']",4.410428273069557,10.369023679212816
6.0,"['8', '6', '9', '5', '7', '4', '2', '15', '12']",4.739349207488436,11.26286414124472
7.0,"['8', '9', '11', '5', '4', '6', '3', '1', '18']",4.051116781653985,9.539650057273228
8.0,"['8', '6', '9', '5', '7', '2', '15', '4', '1']",4.780946373329076,11.27503111312927
11.0,"['18', '6', '9', '5', '7', '2', '15', '4', '12']",4.757560777902757,11.407072476057799
5.0,"['18', '6', '9', '5', '7', '4', '2', '15', '1']",4.723227749319654,11.201981827569327
7.0,"['11', '8', '9', '5', '4', '7', '3', '18', '12']",4.107593176984685,9.750689788186182
1.0,"['8', '6', '18', '5', '7', '2', '15', '4', '1']",4.644355421966395,11.027511888547377
3.0,"['8', '6', '9', '5', '7', '4', '2', '15', '12']",4.739349207488436,11.26286414124472
5.0,"['11', '8', '9', '6', '4', '7', '2', '1', '15']",4.5189113646923165,10.793307609935674
6.0,"['8', '6', '9', '5', '7', '2', '4', '15', '1']",4.759410459999901,11.205421684844186
3.0,"['8', '9', '11', '5', '6', '4', '7', '1', '13']",4.4056842076019835,10.580633647255794
1.0,"['8', '6', '9', '5', '7', '2', '15', '12', '13']",4.978281122572431,12.044273939501284
1.0,"['7', '8', '9', '5', '2', '18', '13', '15', '1']",4.916308075741636,11.78128638172505
9.0,"['8', '6', '9', '5', '7', '2', '15', '12', '13']",4.978281122572431,12.044273939501284
12.0,"['8', '9', '11', '5', '6', '4', '13', '7', '1']",4.402744246002949,10.541933495191941
6.0,"['8', '9', '11', '5', '6', '4', '13', '7', '1']",4.402744246002949,10.541933495191941
4.0,"['8', '6', '2', '5', '7', '18', '4', '15', '1']",4.634235355482141,10.854505898185966
0.0,"['8', '6', '2', '5', '7', '18', '4', '15', '12']",4.634822739092409,10.969566782674892
1.0,"['8', '6', '9', '5', '7', '2', '15', '13', '1']",4.97516143592343,11.914480172128428
0.0,"['8', '6', '9', '5', '7', '4', '2', '15', '12']",4.739349207488436,11.26286414124472
3.0,"['11', '9', '6', '5', '4', '13', '1', '18', '7']",4.350893625213116,10.480977473668137
7.0,"['18', '8', '9', '6', '11', '2', '4', '15', '1']",4.422436631646183,10.642422024110196
2.0,"['18', '8', '9', '6', '7', '2', '4', '15', '12']",4.480756964228208,10.703636290243672
2.0,"['8', '5', '9', '6', '7', '2', '4', '15', '1']",4.74967201944963,11.17717465542184
8.0,"['18', '5', '9', '6', '7', '2', '4', '15', '12']",4.734377232512356,11.335812909818813
4.0,"['8', '5', '9', '6', '11', '7', '4', '15', '1']",4.4097296276682565,10.353441230226228
8.0,"['8', '5', '9', '6', '7', '4', '2', '1', '15']",4.723692609904223,11.10159765421157
8.0,"['8', '5', '9', '6', '11', '2', '4', '12', '13']",4.655450945779106,11.36487401467338
2.0,"['8', '5', '6', '7', '18', '2', '13', '15', '1']",4.824385418098289,11.592433927169367
2.0,"['8', '5', '9', '6', '7', '4', '2', '1', '15']",4.723692609904223,11.10159765421157
1.0,"['11', '8', '9', '5', '6', '4', '13', '1', '3']",4.040441719061647,9.465776525156638
5.0,"['8', '6', '9', '5', '2', '4', '7', '15', '12']",4.757372655320094,11.305423963141113
2.0,"['8', '6', '9', '5', '2', '4', '7', '1', '15']",4.750377161391086,11.172671521554985
3.0,"['7', '6', '9', '5', '2', '11', '3', '12', '4']",4.513483490592921,10.699693356594455
3.0,"['8', '6', '9', '5', '10', '2', '3', '1', '4']",4.563118390026439,10.504273678869556
1.0,"['8', '6', '9', '5', '10', '2', '3', '12', '4']",4.546714842569523,10.541608935690597
3.0,"['7', '8', '6', '5', '9', '2', '4', '12', '13']",4.710755048717118,11.356099012986512
3.0,"['7', '8', '9', '5', '10', '2', '3', '1', '4']",4.6223277851610645,10.662459779698345
6.0,"['8', '6', '9', '5', '10', '2', '3', '12', '13']",4.739143196696373,11.197849018679289
6.0,"['11', '9', '8', '10', '3', '4', '2', '1', '13']",4.2737018686126556,10.039806439247329
15.0,"['8', '9', '5', '10', '6', '3', '2', '1', '13']",4.7275222345330326,11.026184784046414
6.0,"['8', '9', '5', '10', '6', '3', '7', '4', '1']",4.308848851031759,9.737001350414666
4.0,"['7', '9', '8', '5', '11', '2', '4', '12', '13']",4.733998683821971,11.588057450188863
9.0,"['7', '8', '5', '10', '6', '3', '2', '1', '13']",4.698737467369577,10.947467356490531
10.0,"['8', '9', '5', '6', '10', '2', '3', '1', '4']",4.557174684978618,10.487415383367754
4.0,"['7', '8', '9', '5', '6', '2', '3', '12', '4']",4.488587416027127,10.545869114074346
0.0,"['7', '9', '6', '5', '10', '2', '1', '24', '13']",4.41547392645755,10.222864270685232
3.0,"['11', '9', '6', '5', '10', '1', '3', '4', '24']",3.6888480817838274,8.327163454496771
4.0,"['7', '9', '6', '5', '10', '2', '3', '24', '1']",4.21463588063645,9.503066600226795
1.0,"['11', '9', '5', '10', '6', '21', '3', '4', '24']",3.5732872245206204,7.976953393186571
1.0,"['7', '9', '8', '5', '10', '2', '4', '24', '1']",4.206487239861017,9.522522317007358
2.0,"['8', '9', '11', '5', '10', '3', '4', '1', '24']",3.668515143054742,8.253953490041784
0.0,"['8', '9', '11', '5', '10', '6', '3', '4', '1']",4.293639491745967,9.95530959030706
5.0,"['7', '8', '6', '5', '9', '2', '3', '24', '1']",4.051332161008291,9.218966253815402
7.0,"['11', '8', '9', '5', '10', '6', '4', '3', '24']",3.797089005332226,8.614798943392742
5.0,"['7', '9', '8', '5', '11', '2', '4', '24', '1']",4.058611855308343,9.393239886795772
2.0,"['7', '8', '6', '5', '9', '2', '3', '24', '1']",4.051332161008291,9.218966253815402
4.0,"['7', '6', '9', '5', '8', '10', '3', '24', '1']",3.9155926142950133,8.769419033422476
10.0,"['8', '9', '6', '5', '10', '2', '4', '24', '1']",4.150829666550231,9.370845448512817
7.0,"['7', '9', '5', '10', '8', '4', '2', '1', '16']",4.482764311780731,10.018263001855146
10.0,"['7', '6', '9', '5', '8', '2', '3', '1', '4']",4.503988371693471,10.502886404107588
4.0,"['11', '9', '5', '10', '6', '23', '4', '3', '16']",3.547187154478602,7.704543170794821
8.0,"['7', '6', '9', '5', '8', '10', '2', '1', '16']",4.740665256274256,10.825740994914018
4.0,"['7', '6', '9', '5', '8', '2', '3', '1', '4']",4.503988371693471,10.502886404107588
11.0,"['11', '9', '5', '10', '6', '23', '3', '1', '16']",3.610254936133535,7.832866798933972
7.0,"['7', '8', '9', '6', '10', '2', '3', '1', '16']",4.27700500236296,9.558814207301225
0.0,"['7', '8', '9', '6', '11', '2', '3', '23', '16']",3.7528323230710776,8.480469968110574
5.0,"['11', '6', '9', '5', '10', '8', '4', '1', '16']",4.172804785246455,9.397543415048872
4.0,"['7', '9', '6', '5', '10', '8', '2', '1', '16']",4.75318196452007,10.785724442390986
8.0,"['7', '6', '9', '5', '8', '2', '4', '23', '16']",3.9979543748987214,8.936831190751187
6.0,"['7', '6', '9', '5', '10', '2', '1', '4', '16']",4.541628189815919,10.221939732004099
7.0,"['7', '9', '5', '6', '10', '2', '3', '1', '16']",4.5080075558500505,10.073508829324986
5.0,"['7', '9', '6', '5', '10', '8', '2', '1', '16']",4.75318196452007,10.785724442390986
3.0,"['7', '6', '9', '5', '10', '2', '8', '1', '16']",4.759489402409783,10.80341680303226
2.0,"['7', '9', '5', '2', '10', '8', '3', '1', '16']",4.53995230828454,10.082046331404044
3.0,"['11', '9', '5', '10', '6', '3', '8', '13', '23']",4.039469889832548,9.362760337582
2.0,"['7', '9', '6', '5', '2', '8', '1', '13', '16']",4.5697742223287925,10.534171378561297
6.0,"['7', '8', '6', '5', '10', '2', '3', '12', '16']",4.376054181057301,9.827122851908317
3.0,"['7', '8', '6', '5', '10', '2', '3', '1', '16']",4.3994065522469015,9.81520691824283
3.0,"['7', '8', '6', '5', '10', '2', '1', '17', '16']",4.635065190882337,10.578172471188267
4.0,"['7', '6', '9', '5', '10', '2', '17', '1', '16']",4.780579631872364,10.92902949987856
1.0,"['7', '6', '9', '5', '2', '8', '17', '12', '13']",5.016657873572068,12.264211959049423
6.0,"['11', '6', '9', '5', '10', '2', '17', '13', '1']",5.0750275765838575,12.3402936410521
3.0,"['7', '6', '14', '5', '2', '10', '8', '13', '1']",4.610620461943965,10.74123643757705
4.0,"['7', '6', '14', '5', '2', '8', '17', '12', '13']",4.483798599157648,10.705148701652913
2.0,"['13', '5', '10', '2', '14', '8', '7', '17', '12']",4.646002498910919,10.964302804391483
5.0,"['11', '5', '10', '6', '14', '8', '13', '2', '1']",4.59123755626262,10.837127746163294
2.0,"['8', '6', '9', '5', '2', '13', '7', '12', '17']",5.015270548209985,12.258950481751157
6.0,"['11', '9', '14', '6', '10', '13', '2', '1', '17']",4.440545459065788,10.565656939166583
5.0,"['8', '9', '5', '14', '2', '10', '7', '13', '12']",4.712839572440774,11.109976673224448
2.0,"['11', '9', '5', '14', '10', '8', '13', '2', '1']",4.660640114084101,11.024693153574965
7.0,"['11', '5', '14', '10', '6', '13', '2', '1', '17']",4.580685689708388,10.885195069917568
8.0,"['8', '5', '9', '6', '2', '14', '7', '12', '13']",4.622510763176207,11.013067905596198
8.0,"['8', '5', '9', '6', '10', '7', '13', '1', '17']",4.779138211198672,11.304550196323262
6.0,"['8', '5', '9', '6', '10', '7', '14', '12', '13']",4.437669625405611,10.335222319052168
4.0,"['8', '5', '6', '2', '10', '14', '13', '12', '17']",4.632361081972575,10.960180149921108
3.0,"['8', '5', '9', '6', '10', '2', '14', '17', '1']",4.716508356109271,10.996445152021142
7.0,"['8', '5', '9', '2', '10', '14', '20', '13', '1']",4.937152305042014,11.64205910919054
17.0,"['8', '5', '9', '10', '6', '13', '20', '17', '1']",4.936155893490691,11.808480630280364
4.0,"['8', '5', '9', '6', '10', '2', '14', '12', '13']",4.664372241137423,10.996950956779223
8.0,"['8', '9', '11', '5', '10', '14', '13', '17', '1']",4.401355568075069,10.404616207067878
4.0,"['8', '9', '10', '2', '14', '13', '20', '1', '17']",4.667864579408578,11.05086644290909
5.0,"['8', '5', '9', '6', '10', '2', '14', '1', '17']",4.726443912030254,11.06382524141625
2.0,"['8', '5', '9', '6', '10', '2', '14', '12', '24']",4.037611421675255,9.101991420641717
4.0,"['19', '9', '5', '10', '11', '8', '17', '2', '1']",4.88789199401949,11.632728967609886
2.0,"['8', '5', '9', '2', '10', '6', '14', '17', '1']",4.776540424706411,11.107122874004304
9.0,"['8', '5', '9', '2', '10', '6', '14', '12', '15']",4.752430089312142,10.989188991284244
