Score,Lineup,score2,vari
4.0,"['3', '4', '6', '7', '2', '1', '16', '11', '14']",4.414932389440012,10.44758961729858
1.0,"['3', '4', '6', '7', '2', '19', '16', '5', '15']",3.722802947813967,8.668002380913807
5.0,"['3', '4', '6', '2', '1', '7', '11', '21', '5']",4.260318932258813,10.121017659808714
6.0,"['3', '4', '6', '7', '2', '11', '16', '19', '15']",4.195771790344321,9.837942867156059
12.0,"['3', '4', '6', '7', '2', '11', '16', '1', '14']",4.452634471121042,10.646835967755173
2.0,"['3', '4', '6', '7', '2', '11', '16', '14', '15']",4.288802939101646,10.249563937939868
10.0,"['3', '4', '6', '2', '11', '21', '7', '1', '5']",4.2557678970028965,10.027256715413127
2.0,"['3', '4', '6', '7', '2', '19', '16', '5', '15']",3.722802947813967,8.668002380913807
3.0,"['3', '4', '6', '7', '2', '16', '11', '1', '14']",4.415171844159724,10.521750966124756
14.0,"['3', '4', '6', '2', '7', '11', '16', '1', '20']",4.950440311762743,11.679315304439491
2.0,"['3', '5', '6', '7', '2', '16', '11', '14', '15']",3.887771021708394,9.18096720231728
8.0,"['3', '4', '6', '8', '7', '11', '16', '19', '1']",4.767219175176011,11.319120306205242
1.0,"['3', '4', '6', '8', '7', '2', '16', '11', '15']",4.692324209252169,11.215529959025663
3.0,"['3', '4', '6', '8', '2', '11', '7', '1', '21']",4.759234264639915,11.481991261002978
10.0,"['3', '4', '6', '8', '2', '11', '7', '1', '5']",4.817768870827469,11.606270906960663
4.0,"['3', '4', '6', '8', '11', '7', '1', '16', '21']",4.744141922219315,11.328320909555583
12.0,"['3', '4', '6', '7', '19', '11', '16', '5', '15']",4.079336297804054,9.53025203420998
2.0,"['3', '4', '6', '8', '7', '11', '16', '2', '15']",4.747683012082453,11.459935481580597
13.0,"['3', '4', '6', '8', '11', '7', '2', '1', '5']",4.864914012819701,11.646088409175679
4.0,"['3', '4', '6', '8', '7', '11', '16', '2', '15']",4.747683012082453,11.459935481580597
3.0,"['3', '4', '7', '8', '11', '16', '21', '1', '5']",4.234629686345746,9.854866784871241
6.0,"['3', '4', '6', '8', '11', '16', '2', '1', '20']",4.992478278746823,11.74020997958602
3.0,"['3', '4', '6', '8', '2', '16', '11', '1', '20']",4.907175173598276,11.532374255273552
5.0,"['3', '4', '6', '8', '2', '16', '20', '5', '15']",4.393073553873583,10.459084398680002
2.0,"['3', '4', '6', '8', '2', '7', '11', '1', '20']",5.430109452122959,13.036083768585112
6.0,"['3', '4', '6', '8', '7', '2', '16', '11', '15']",4.692324209252169,11.215529959025663
3.0,"['3', '4', '6', '8', '7', '11', '16', '19', '1']",4.767219175176011,11.319120306205242
5.0,"['3', '4', '7', '8', '2', '11', '1', '20', '5']",4.934717235013272,11.601521619439488
1.0,"['3', '4', '6', '7', '8', '19', '16', '11', '15']",4.522771975922275,10.65015876596954
1.0,"['3', '4', '6', '7', '8', '2', '16', '11', '15']",4.683486680991258,11.173624407506122
3.0,"['3', '4', '6', '8', '7', '11', '2', '20', '13']",5.4723929075963165,13.156617200657294
4.0,"['3', '4', '6', '8', '7', '2', '17', '11', '13']",4.728149228803694,11.129162890463313
4.0,"['3', '4', '6', '8', '7', '2', '17', '5', '15']",4.20044232660914,9.93744491091849
4.0,"['3', '4', '6', '7', '16', '20', '17', '5', '13']",4.444024632997905,10.368979862527304
1.0,"['3', '4', '6', '7', '8', '2', '17', '11', '15']",4.598564322409192,10.869650168347338
4.0,"['5', '4', '6', '7', '8', '16', '17', '9', '13']",4.450248765605863,10.327605709665345
10.0,"['5', '4', '6', '8', '11', '7', '2', '1', '9']",5.0654990032895375,11.976832964483307
6.0,"['9', '4', '6', '7', '8', '11', '17', '2', '1']",5.005699498086228,11.785915794245728
1.0,"['5', '4', '6', '7', '8', '9', '17', '16', '15']",4.4004174944832055,10.334702566345374
3.0,"['9', '4', '6', '8', '11', '2', '17', '1', '5']",4.511712262155665,10.417636603904366
4.0,"['9', '4', '6', '8', '7', '11', '2', '1', '5']",5.070681933244234,12.04561372913092
3.0,"['5', '4', '9', '6', '8', '17', '14', '16', '15']",3.8839785631363815,8.919662470046685
6.0,"['9', '4', '6', '8', '11', '17', '2', '1', '14']",4.59920314974609,10.76086285717868
10.0,"['3', '4', '6', '8', '11', '2', '1', '9', '5']",4.789731439205542,11.370758263602092
3.0,"['3', '4', '6', '8', '2', '11', '17', '1', '9']",4.6807305706253475,11.011720136629854
1.0,"['3', '4', '6', '8', '10', '9', '17', '14', '15']",4.528995243893305,11.001632990609554
7.0,"['3', '4', '6', '8', '9', '10', '11', '1', '17']",5.064887875842255,12.172411446739172
4.0,"['3', '14', '4', '6', '8', '10', '9', '17', '15']",4.508959852434265,10.999830799404027
1.0,"['3', '4', '6', '8', '10', '9', '17', '11', '1']",5.024762780710751,12.089373330804225
0.0,"['3', '4', '10', '6', '2', '9', '17', '14', '15']",4.106745579935195,9.884237919267914
5.0,"['3', '4', '6', '8', '2', '1', '9', '11', '10']",5.115083797422393,12.40920094013116
5.0,"['3', '4', '6', '8', '9', '2', '10', '11', '1']",5.195432238768786,12.60567496726398
1.0,"['14', '3', '6', '8', '4', '10', '19', '17', '15']",4.02485167540216,9.60448843886487
2.0,"['3', '4', '6', '8', '2', '10', '11', '1', '9']",5.146112694987746,12.530740177582036
3.0,"['3', '4', '6', '8', '10', '17', '11', '14', '15']",4.4714103809044525,10.822846436547565
2.0,"['3', '4', '6', '8', '10', '9', '2', '11', '1']",5.199258932885185,12.691876234516709
0.0,"['14', '3', '6', '8', '4', '10', '19', '17', '15']",4.02485167540216,9.60448843886487
7.0,"['3', '4', '6', '8', '11', '1', '2', '13', '9']",4.905974160272027,11.596891269988532
0.0,"['3', '4', '6', '8', '11', '1', '2', '13', '9']",4.905974160272027,11.596891269988532
4.0,"['3', '4', '6', '8', '1', '13', '10', '11', '17']",4.7095158448550265,11.210621731472937
2.0,"['3', '4', '6', '8', '10', '2', '13', '17', '14']",4.279784082722256,10.262447830192695
1.0,"['3', '4', '6', '8', '1', '13', '2', '11', '10']",4.828145019082875,11.652692151150724
3.0,"['5', '10', '8', '6', '4', '17', '11', '9', '15']",4.644466241352439,11.094120194950168
4.0,"['10', '3', '9', '6', '4', '2', '17', '13', '5']",4.128586565135357,9.70208791542095
3.0,"['10', '3', '9', '6', '4', '1', '17', '11', '5']",4.483392220894504,10.511932016519339
11.0,"['10', '3', '8', '6', '4', '17', '14', '5', '15']",4.035403531891373,9.72810096303419
10.0,"['10', '3', '8', '6', '4', '9', '17', '1', '5']",4.604551983458943,11.153822292670629
7.0,"['10', '3', '8', '6', '4', '7', '9', '5', '15']",5.011916308568289,12.424257733867147
10.0,"['3', '4', '9', '8', '1', '2', '11', '13', '5']",4.37496175234467,10.114569586825468
3.0,"['10', '3', '8', '6', '4', '7', '9', '1', '14']",5.261924965851906,13.164334954515738
3.0,"['10', '3', '8', '6', '4', '7', '9', '13', '5']",5.144192974340458,12.715486813044752
8.0,"['10', '3', '8', '6', '4', '7', '9', '1', '14']",5.261924965851906,13.164334954515738
4.0,"['10', '3', '8', '6', '4', '7', '9', '5', '15']",5.011916308568289,12.424257733867147
8.0,"['3', '8', '9', '2', '6', '1', '13', '10', '5']",4.484119217024151,10.733246857333306
9.0,"['10', '3', '8', '6', '4', '7', '9', '1', '5']",5.179463273093595,12.833925057288855
5.0,"['3', '8', '9', '4', '6', '2', '13', '5', '15']",4.272911799359387,10.05651944665042
1.0,"['3', '8', '6', '9', '4', '2', '7', '1', '5']",4.849598016612751,11.645670504970735
5.0,"['10', '3', '9', '6', '4', '7', '1', '18', '5']",4.8374527238328495,11.516233559180893
1.0,"['10', '3', '9', '6', '4', '7', '13', '18', '5']",4.804070872439094,11.417138345920844
10.0,"['10', '3', '9', '6', '4', '7', '1', '18', '5']",4.8374527238328495,11.516233559180893
0.0,"['3', '9', '6', '8', '7', '4', '18', '5', '15']",4.811407944065618,11.376398247253412
6.0,"['10', '3', '9', '7', '8', '4', '18', '1', '2']",4.90554636550836,11.697885079552034
