Score,Lineup,score2,vari
3.0,"['4', '7', '2', '9', '5', '6', '1', '3', '15']",3.485609457231879,7.5882648578431695
3.0,"['4', '7', '6', '9', '5', '10', '1', '8', '3']",3.3435837855810417,7.453111191008421
4.0,"['4', '7', '6', '9', '5', '2', '8', '3', '12']",3.320616606158682,7.212248559820978
6.0,"['4', '7', '6', '9', '5', '2', '1', '8', '3']",3.4830213710678177,7.796016792116999
3.0,"['4', '7', '6', '9', '5', '2', '1', '8', '3']",3.4830213710678177,7.796016792116999
7.0,"['4', '7', '6', '5', '2', '10', '1', '8', '3']",3.303346175292896,7.34179106924506
6.0,"['4', '7', '2', '11', '17', '6', '3', '12', '15']",3.392788051152551,6.93143243010325
9.0,"['4', '7', '2', '5', '11', '1', '3', '15', '8']",3.485035099096506,7.390881868846716
11.0,"['4', '7', '6', '5', '2', '10', '1', '8', '3']",3.303346175292896,7.34179106924506
0.0,"['4', '6', '2', '5', '10', '8', '15', '12', '3']",2.7794126048128573,5.955989254380281
4.0,"['4', '7', '6', '2', '10', '1', '17', '8', '3']",3.198770312347818,7.037139961586707
3.0,"['6', '7', '10', '2', '1', '11', '8', '15', '3']",3.526782307245368,7.62360518213409
1.0,"['6', '7', '2', '10', '1', '17', '13', '12', '3']",3.2135979864805115,6.839141139750247
3.0,"['6', '7', '2', '9', '11', '1', '13', '8', '3']",3.711368052652554,8.105711666383074
7.0,"['6', '7', '2', '9', '1', '11', '8', '13', '3']",3.701332704228112,8.10954748700267
4.0,"['7', '2', '10', '9', '11', '8', '12', '13', '3']",3.4618568089863166,7.270136681609131
4.0,"['6', '7', '2', '9', '1', '11', '8', '13', '3']",3.701332704228112,8.10954748700267
3.0,"['7', '2', '9', '11', '1', '12', '3', '13', '15']",3.491287897912442,7.161421639803756
2.0,"['6', '7', '2', '9', '1', '11', '8', '13', '3']",3.701332704228112,8.10954748700267
7.0,"['6', '7', '2', '9', '1', '11', '8', '3', '13']",3.690852162407116,8.053902076259657
3.0,"['3', '7', '2', '9', '11', '6', '1', '12', '15']",3.6833094933534745,7.775511400689954
1.0,"['7', '6', '2', '9', '10', '11', '3', '12', '13']",3.6030534455381313,7.744740877106658
2.0,"['7', '6', '2', '9', '1', '11', '8', '3', '13']",3.6613879170528665,8.05987609127515
