Score,Lineup,score2,vari
4.0,"['3', '7', '11', '1', '21', '16', '2', '8', '15']",4.395820734371568,10.203146540740523
6.0,"['3', '2', '16', '1', '12', '6', '18', '15', '7']",3.7563872046223987,8.808956417820701
3.0,"['3', '7', '11', '1', '21', '16', '2', '8', '12']",4.4002940051665576,10.201396203298579
7.0,"['3', '2', '16', '1', '12', '6', '14', '15', '7']",3.9810542606908847,9.323777945633253
5.0,"['3', '7', '11', '1', '21', '16', '2', '12', '8']",4.404070997711394,10.212300864649098
2.0,"['3', '7', '11', '1', '16', '21', '2', '8', '15']",4.351594697611317,10.092458766817725
2.0,"['3', '2', '16', '1', '12', '7', '6', '15', '18']",3.7693305201039564,8.87852511773009
6.0,"['3', '7', '11', '1', '16', '21', '2', '12', '8']",4.358966689240859,10.101736540596018
4.0,"['3', '7', '11', '1', '16', '21', '2', '8', '15']",4.351594697611317,10.092458766817725
6.0,"['3', '7', '11', '1', '16', '21', '2', '18', '15']",3.795457985072615,8.729517114337824
4.0,"['3', '7', '11', '1', '16', '21', '15', '14', '8']",4.11531159185224,9.402417762715267
6.0,"['3', '2', '6', '1', '16', '5', '12', '18', '15']",3.6271313213496286,8.460372905676957
3.0,"['3', '7', '11', '1', '16', '21', '2', '5', '15']",4.046854309017442,9.255268918053545
13.0,"['3', '2', '6', '1', '16', '5', '7', '15', '18']",3.8850448587296844,9.145538875127924
3.0,"['3', '7', '11', '21', '16', '2', '5', '12', '14']",4.019762861948935,9.106655729065103
8.0,"['3', '6', '16', '1', '12', '11', '5', '15', '7']",3.9583054014731567,9.286926443483402
0.0,"['3', '7', '11', '1', '16', '12', '21', '5', '18']",3.608955994343504,8.162831480194257
0.0,"['3', '7', '11', '1', '12', '21', '6', '15', '14']",3.945661082455087,9.01176423343897
3.0,"['3', '7', '2', '11', '1', '16', '21', '5', '15']",4.085724892196826,9.350369271055236
2.0,"['3', '7', '2', '11', '1', '16', '21', '5', '15']",4.085724892196826,9.350369271055236
1.0,"['3', '2', '6', '1', '16', '12', '5', '15', '18']",3.6246646782803467,8.445651822927209
0.0,"['3', '7', '2', '11', '16', '6', '21', '15', '14']",4.038565147452218,9.193501128602033
7.0,"['3', '7', '2', '1', '11', '16', '19', '5', '15']",4.3250473954481325,10.324128566868264
7.0,"['3', '2', '6', '1', '19', '12', '5', '15', '14']",4.049614944081898,9.594688817046094
5.0,"['3', '7', '2', '1', '11', '19', '12', '5', '18']",4.28778917399136,10.285609857679543
11.0,"['3', '7', '2', '1', '11', '19', '5', '6', '15']",4.583099402706206,11.08362310568084
3.0,"['3', '2', '6', '1', '19', '12', '5', '15', '14']",4.049614944081898,9.594688817046094
4.0,"['12', '2', '6', '1', '19', '5', '25', '15', '18']",3.1720311305570887,7.266474998537738
3.0,"['3', '2', '6', '1', '19', '12', '5', '15', '14']",4.049614944081898,9.594688817046094
2.0,"['3', '7', '2', '6', '11', '5', '19', '12', '18']",4.311244641964421,10.348559864776963
1.0,"['3', '7', '2', '1', '11', '5', '6', '12', '15']",4.489998605021823,10.723056689844551
4.0,"['3', '7', '2', '1', '11', '19', '5', '12', '14']",4.506996702662547,10.802045740951453
5.0,"['3', '7', '2', '1', '19', '5', '16', '15', '18']",3.8871359799596745,9.221529122268324
4.0,"['3', '7', '2', '1', '19', '5', '16', '12', '15']",4.0553843198132515,9.631099402821835
7.0,"['3', '5', '2', '1', '6', '16', '12', '7', '14']",4.091259434891089,9.52644909436032
1.0,"['3', '7', '2', '11', '1', '5', '16', '19', '15']",4.348900899914283,10.415430218230657
5.0,"['3', '7', '2', '11', '1', '5', '19', '12', '18']",4.302318814318339,10.330412134025025
7.0,"['3', '11', '2', '1', '5', '19', '16', '6', '15']",4.1372611710282925,9.809582722301016
6.0,"['3', '11', '2', '1', '19', '6', '12', '15', '18']",4.011056091619947,9.58179898266085
1.0,"['3', '5', '2', '1', '6', '19', '16', '12', '14']",3.905158577038566,9.114467421790291
8.0,"['3', '10', '11', '2', '1', '5', '19', '16', '6']",4.489071049423615,10.673846876323267
3.0,"['3', '10', '11', '2', '1', '5', '16', '6', '18']",4.2266686976585675,9.945937066234297
6.0,"['3', '5', '2', '6', '12', '16', '15', '11', '14']",3.9628388826822234,9.185195797685646
2.0,"['3', '10', '11', '2', '1', '5', '19', '16', '15']",4.376225147173521,10.396374644326531
4.0,"['3', '10', '11', '2', '1', '5', '16', '15', '14']",4.322528362239933,10.100034211821189
1.0,"['3', '10', '11', '2', '5', '6', '8', '12', '14']",4.924490621849617,11.75505189101797
