Score,Lineup,score2,vari
0.0,"['6', '4', '5', '9', '2', '3', '8', '16', '7']",3.8234801418968876,9.01802023680079
9.0,"['6', '4', '5', '9', '2', '11', '3', '16', '7']",3.660535766911144,8.51701034578891
2.0,"['6', '4', '5', '9', '2', '11', '3', '7', '15']",3.1584415790680938,7.044828321713078
6.0,"['6', '4', '5', '9', '11', '10', '3', '16', '7']",3.367501769897311,7.714066219251217
12.0,"['6', '4', '5', '9', '2', '3', '16', '8', '7']",3.824009491469411,9.035686985951768
3.0,"['6', '4', '5', '11', '2', '10', '3', '16', '7']",3.4542658607981576,7.932845415352638
6.0,"['6', '4', '5', '9', '11', '10', '3', '7', '15']",2.8864515135872955,6.353701895094606
3.0,"['6', '4', '5', '2', '9', '11', '3', '16', '7']",3.667388271689177,8.52969270431354
2.0,"['6', '4', '5', '9', '2', '11', '3', '16', '7']",3.660535766911144,8.51701034578891
7.0,"['6', '4', '5', '2', '3', '9', '8', '7', '15']",3.2886463942171518,7.386474323094808
3.0,"['6', '4', '5', '2', '3', '9', '8', '16', '7']",3.81781773410536,8.98907225725534
2.0,"['6', '3', '5', '2', '9', '8', '11', '16', '10']",3.652471943697219,8.303885775415173
3.0,"['6', '4', '5', '2', '3', '9', '8', '7', '15']",3.2886463942171518,7.386474323094808
4.0,"['6', '4', '5', '2', '3', '9', '8', '16', '7']",3.81781773410536,8.98907225725534
6.0,"['6', '4', '5', '2', '9', '3', '8', '7', '15']",3.301455600626671,7.430747795530863
6.0,"['6', '10', '5', '9', '11', '3', '16', '8', '7']",3.301506126155671,7.51412437381963
3.0,"['6', '10', '5', '9', '11', '3', '16', '13', '7']",3.367897265763936,7.662724743545279
0.0,"['8', '7', '5', '9', '2', '11', '3', '10', '15']",3.0583222672067087,6.743590396834598
3.0,"['6', '3', '5', '9', '2', '8', '10', '16', '7']",3.8143738359820722,8.915452163266771
1.0,"['6', '4', '5', '9', '11', '3', '16', '2', '7']",3.619501676218553,8.395561203742488
2.0,"['6', '7', '5', '9', '11', '3', '10', '13', '15']",2.917668484325314,6.4403637465940875
7.0,"['6', '4', '5', '9', '11', '2', '16', '10', '7']",3.594547491884343,8.331398566206671
0.0,"['6', '4', '5', '9', '3', '11', '2', '16', '7']",3.6382583603150818,8.453130236213255
1.0,"['6', '4', '5', '2', '9', '3', '16', '8', '7']",3.8297234548558374,9.04539365989043
4.0,"['6', '4', '5', '2', '9', '3', '11', '8', '15']",3.1956358222134833,7.098851788299076
5.0,"['6', '4', '5', '2', '9', '3', '16', '8', '7']",3.8297234548558374,9.04539365989043
7.0,"['6', '4', '5', '2', '9', '11', '3', '16', '7']",3.667388271689177,8.52969270431354
1.0,"['6', '4', '5', '9', '11', '3', '7', '10', '15']",2.8970357431204734,6.343811769561855
3.0,"['6', '4', '5', '2', '9', '3', '16', '8', '7']",3.8297234548558374,9.04539365989043
2.0,"['6', '4', '5', '2', '9', '3', '16', '8', '7']",3.8297234548558374,9.04539365989043
3.0,"['6', '4', '5', '2', '9', '3', '8', '7', '15']",3.301455600626671,7.430747795530863
0.0,"['6', '4', '5', '2', '9', '11', '3', '16', '7']",3.667388271689177,8.52969270431354
4.0,"['6', '4', '5', '2', '9', '3', '10', '16', '7']",3.9055756710771856,9.219164002337306
2.0,"['6', '7', '5', '2', '9', '3', '10', '8', '15']",3.346117936450174,7.598483108185121
2.0,"['6', '4', '5', '9', '17', '3', '16', '10', '7']",3.7174482650814147,8.673203342305248
2.0,"['6', '4', '5', '2', '9', '3', '7', '8', '15']",3.3037999989961535,7.421246096650707
0.0,"['6', '4', '5', '9', '17', '13', '16', '10', '7']",3.676101780507205,8.578843463922302
4.0,"['6', '4', '5', '9', '2', '10', '3', '7', '15']",3.375612664720911,7.647478863936058
