Score,Lineup,score2,vari
7.0,"['18', '8', '9', '13', '2', '5', '1', '3', '4']",3.751248374545907,8.4968230067658
4.0,"['18', '8', '9', '13', '5', '2', '1', '3', '4']",3.7603417532426917,8.53915596173319
4.0,"['18', '8', '9', '13', '5', '2', '16', '1', '4']",4.241015882687338,9.851174946212872
1.0,"['6', '8', '9', '13', '5', '2', '18', '4', '23']",3.3474563861322437,7.268729652236589
4.0,"['6', '8', '9', '13', '5', '16', '1', '3', '12']",4.148101000409664,9.728370287232991
2.0,"['6', '18', '8', '13', '2', '5', '1', '12', '4']",3.677827290348081,8.308542487550074
1.0,"['6', '8', '9', '13', '5', '1', '2', '18', '4']",3.988496370214968,9.171113755487587
5.0,"['6', '8', '9', '13', '2', '5', '1', '18', '4']",3.9787982392548535,9.125379399528025
6.0,"['9', '18', '8', '5', '16', '3', '12', '4', '23']",3.0472298660896047,6.6863010486716306
7.0,"['6', '9', '8', '5', '16', '2', '18', '1', '4']",4.141756666808808,9.711140881755757
7.0,"['6', '9', '8', '13', '1', '2', '18', '12', '4']",3.723323998941617,8.465446872068723
6.0,"['6', '8', '5', '13', '16', '1', '3', '18', '4']",3.8278791681675015,8.773140333978574
4.0,"['6', '9', '5', '13', '16', '18', '3', '4', '23']",3.3356226946756338,7.2244087538514545
3.0,"['6', '8', '9', '13', '1', '5', '18', '12', '4']",3.886879324933497,8.937616545483015
2.0,"['6', '8', '9', '13', '5', '1', '2', '18', '4']",3.988496370214968,9.171113755487587
0.0,"['6', '8', '9', '13', '5', '2', '3', '12', '23']",3.2343693567787897,7.008524037666755
3.0,"['6', '8', '9', '13', '1', '5', '2', '18', '4']",3.984601715301345,9.170725524986931
3.0,"['6', '8', '9', '13', '5', '1', '18', '12', '4']",3.8909562776599675,8.935705492077652
3.0,"['6', '9', '8', '5', '16', '12', '3', '4', '23']",3.27024339324933,7.198183855523498
5.0,"['6', '8', '5', '13', '1', '2', '18', '12', '4']",3.7168261281708754,8.385243446956897
3.0,"['6', '8', '9', '13', '5', '1', '3', '18', '12']",3.718977242794505,8.553421137602756
3.0,"['9', '6', '8', '13', '1', '5', '18', '12', '4']",3.85846299894827,8.881709690655162
3.0,"['9', '6', '5', '13', '16', '18', '3', '4', '23']",3.2940175944163257,7.141010389808482
6.0,"['9', '6', '8', '13', '1', '16', '12', '7', '4']",3.9226980949951256,9.008454778517017
5.0,"['9', '6', '8', '5', '1', '16', '12', '7', '4']",3.9765427892991934,9.234627272154256
1.0,"['9', '6', '8', '13', '5', '12', '7', '4', '23']",3.1986271433670175,6.913154451519604
1.0,"['9', '6', '8', '13', '5', '1', '12', '7', '4']",3.8404484760888633,8.72991829838934
4.0,"['9', '8', '1', '5', '13', '11', '7', '12', '4']",4.048350965820954,9.273675617170756
12.0,"['9', '6', '5', '13', '1', '16', '11', '3', '4']",4.3975154535098255,10.35492061562136
3.0,"['6', '8', '5', '13', '1', '11', '3', '7', '4']",3.7698320089483555,8.460153750031399
7.0,"['9', '6', '8', '13', '1', '11', '5', '12', '4']",4.2409117508517165,9.893182153989795
9.0,"['9', '6', '8', '13', '16', '12', '4', '7', '23']",3.2764113565804514,7.155845194922067
0.0,"['9', '6', '8', '13', '1', '5', '11', '3', '4']",4.0979019233027945,9.519146085518496
5.0,"['9', '11', '8', '13', '1', '5', '3', '4', '7']",3.9205239281467428,8.895519141603216
13.0,"['6', '11', '8', '13', '5', '12', '4', '17', '7']",3.658478866573286,8.20067031846245
0.0,"['9', '6', '8', '5', '1', '16', '4', '3', '7']",3.8491319113937825,8.903251710149991
10.0,"['9', '11', '8', '13', '1', '5', '6', '3', '4']",4.121805051500177,9.559188163098877
4.0,"['6', '4', '8', '13', '11', '5', '17', '12', '7']",3.6125162816764598,8.064452655117385
3.0,"['9', '6', '8', '13', '1', '5', '11', '3', '4']",4.0979019233027945,9.519146085518496
4.0,"['6', '8', '1', '13', '11', '5', '4', '12', '7']",3.9036260597895285,8.860109960522875
4.0,"['9', '6', '8', '13', '1', '5', '4', '3', '7']",3.712807143990532,8.424708996340517
9.0,"['9', '5', '8', '16', '11', '3', '4', '17', '7']",3.7948097640559326,8.657009602494291
1.0,"['9', '6', '1', '11', '16', '15', '7', '12', '4']",3.739833816841717,8.568273616328813
11.0,"['9', '6', '8', '1', '5', '3', '15', '7', '12']",3.2801744962818367,7.337129511805756
2.0,"['9', '8', '1', '11', '5', '12', '7', '15', '4']",3.6607070860451687,8.233914971081093
5.0,"['9', '6', '8', '1', '5', '11', '16', '3', '4']",4.259572157562271,10.099544043070345
3.0,"['6', '5', '8', '11', '16', '7', '12', '17', '4']",3.7721018821445624,8.635002309772052
5.0,"['9', '6', '8', '1', '5', '3', '7', '15', '4']",3.3143223290544666,7.3679173637463276
5.0,"['9', '6', '1', '11', '5', '3', '7', '15', '4']",3.5333561921088594,7.909633725503948
2.0,"['9', '6', '8', '1', '16', '11', '5', '3', '4']",4.273406501502347,10.176327281037047
7.0,"['7', '8', '1', '11', '5', '4', '12', '15', '17']",3.3328007863553704,7.337877713211782
2.0,"['9', '6', '8', '1', '5', '3', '10', '12', '4']",4.105618112530202,9.630898190328004
10.0,"['9', '6', '1', '5', '11', '3', '10', '12', '4']",4.347760554461889,10.270819423406369
11.0,"['9', '6', '8', '5', '11', '3', '10', '4', '17']",4.175408808661988,9.808583593566986
5.0,"['6', '8', '5', '1', '11', '3', '16', '7', '4']",3.87782981916204,8.909572160090764
1.0,"['6', '11', '5', '1', '8', '3', '10', '7', '4']",4.089518880245014,9.434267659947235
0.0,"['11', '4', '5', '1', '2', '10', '7', '12', '17']",3.9313475401131304,8.929013431377639
4.0,"['9', '6', '5', '1', '3', '16', '10', '7', '4']",4.321136207498031,10.197110368423438
7.0,"['9', '6', '5', '1', '11', '3', '10', '7', '4']",4.247156051349314,9.902771092572927
6.0,"['9', '6', '5', '1', '11', '2', '7', '12', '4']",3.93822651923252,9.02957114658481
0.0,"['7', '6', '5', '16', '10', '3', '2', '4', '17']",3.933797854957429,8.978985357111608
4.0,"['9', '6', '5', '1', '11', '10', '7', '12', '4']",4.429323550208042,10.425278108435137
4.0,"['9', '6', '5', '11', '16', '10', '3', '4', '17']",4.530385566197967,10.81152223987188
4.0,"['9', '6', '5', '1', '11', '10', '4', '3', '7']",4.306181610892467,10.072733702638562
6.0,"['9', '6', '5', '1', '16', '11', '10', '3', '4']",4.805261203455169,11.625249803619276
2.0,"['6', '11', '5', '1', '2', '10', '4', '12', '7']",4.248121199578413,9.767786816219054
5.0,"['6', '4', '5', '11', '2', '10', '21', '7', '17']",3.8124177986525885,8.539147932394352
4.0,"['6', '4', '5', '1', '11', '10', '21', '2', '7']",4.068022475706145,9.207762399653753
7.0,"['6', '4', '5', '1', '10', '11', '16', '3', '7']",4.383678064012368,10.212049180080598
3.0,"['10', '4', '5', '1', '11', '3', '2', '7', '17']",3.7855395192043106,8.508064849806102
3.0,"['6', '4', '5', '1', '10', '22', '21', '2', '7']",3.583358468590625,7.704378481230517
1.0,"['6', '4', '1', '11', '10', '22', '2', '21', '7']",3.6387040839571534,7.880621206985133
2.0,"['6', '4', '5', '1', '10', '11', '16', '22', '3']",4.260200784620291,9.739091486036006
6.0,"['6', '4', '5', '1', '10', '16', '11', '3', '7']",4.396051950899069,10.261534226266413
4.0,"['6', '11', '5', '1', '22', '10', '7', '21', '25']",2.9284181308374544,5.87015980091649
6.0,"['6', '10', '5', '1', '16', '22', '3', '7', '21']",3.7292553684010317,8.162421676074745
3.0,"['7', '10', '5', '11', '22', '2', '21', '17', '25']",2.8038677144606616,5.431780791117421
7.0,"['6', '4', '5', '1', '11', '10', '2', '21', '7']",4.100334283233996,9.304499114364344
1.0,"['6', '4', '5', '1', '10', '11', '3', '2', '7']",4.096640804445198,9.322564813026574
4.0,"['4', '11', '5', '1', '10', '22', '2', '21', '7']",3.813408012940432,8.251160442961055
0.0,"['6', '4', '5', '1', '13', '11', '2', '21', '7']",3.756321823437361,8.3133362982539
9.0,"['6', '4', '5', '1', '13', '10', '11', '3', '7']",4.211436062847363,9.641256328926307
3.0,"['6', '4', '5', '1', '13', '10', '11', '2', '3']",4.400391225323839,10.191218434438532
8.0,"['6', '8', '5', '1', '13', '10', '4', '3', '7']",4.024190819639595,9.18205181481757
2.0,"['6', '8', '5', '13', '11', '4', '3', '7', '17']",3.5430608953240585,7.886777268331144
9.0,"['6', '4', '5', '1', '8', '11', '3', '2', '7']",3.613252981009142,8.092460719400336
1.0,"['6', '8', '5', '1', '13', '10', '11', '4', '3']",4.438068207175985,10.385619953422427
4.0,"['6', '8', '5', '1', '13', '10', '11', '4', '3']",4.438068207175985,10.385619953422427
5.0,"['4', '8', '5', '1', '13', '10', '11', '3', '7']",4.2356027791513355,9.672522754941742
3.0,"['6', '4', '5', '8', '13', '11', '12', '7', '17']",3.6327095145655557,8.148111490906988
0.0,"['6', '8', '5', '1', '13', '10', '4', '3', '7']",4.024190819639595,9.18205181481757
7.0,"['6', '8', '5', '1', '13', '11', '4', '12', '7']",3.913103170157108,8.883329063592504
3.0,"['6', '8', '5', '1', '13', '10', '4', '3', '7']",4.024190819639595,9.18205181481757
8.0,"['4', '8', '5', '13', '10', '15', '3', '7', '17']",3.5083358712928896,7.688629283044127
4.0,"['6', '8', '5', '13', '1', '10', '4', '3', '7']",4.026727602041046,9.15238693996486
1.0,"['6', '8', '5', '13', '1', '15', '4', '3', '7']",3.333121986296053,7.323863341503721
6.0,"['6', '8', '5', '13', '1', '11', '4', '12', '7']",3.9130139101013963,8.849732546480505
4.0,"['6', '4', '5', '8', '11', '10', '15', '3', '17']",3.7360525918394756,8.501877609542078
2.0,"['6', '4', '5', '1', '11', '10', '15', '12', '7']",3.9513554944238574,8.969313145386856
10.0,"['6', '4', '1', '11', '10', '15', '12', '7', '3']",3.5693785407653325,8.010762353239013
5.0,"['6', '4', '5', '11', '10', '1', '15', '12', '7']",3.9775877639243054,9.003688376856847
4.0,"['4', '5', '11', '10', '15', '3', '2', '7', '17']",3.595581384925511,7.897936828351229
5.0,"['6', '4', '5', '11', '13', '1', '2', '12', '7']",3.8989129192774468,8.76662866264973
3.0,"['6', '5', '11', '13', '10', '1', '4', '15', '3']",4.200222360168742,9.589433673961064
2.0,"['4', '5', '11', '13', '10', '15', '3', '7', '17']",3.7217232982575488,8.211263487955522
4.0,"['6', '4', '5', '1', '14', '15', '3', '2', '7']",3.1355558016551845,6.7957051562791815
5.0,"['6', '4', '5', '1', '14', '10', '2', '15', '7']",3.808938270516019,8.540693655819338
1.0,"['6', '4', '5', '14', '10', '2', '15', '7', '17']",3.573323609193389,7.947643484985145
9.0,"['6', '4', '5', '14', '10', '1', '2', '15', '7']",3.8175213639943237,8.54763432624271
2.0,"['6', '4', '5', '14', '1', '10', '2', '12', '7']",3.9606829705373023,9.027422298665616
1.0,"['4', '5', '1', '10', '2', '15', '12', '7', '17']",3.569188370414115,7.852725670596698
1.0,"['6', '4', '5', '14', '1', '10', '2', '15', '7']",3.8084759492591176,8.547548822558328
7.0,"['6', '4', '5', '1', '10', '2', '12', '15', '7']",3.7638533829256966,8.390310751273846
6.0,"['6', '4', '5', '10', '15', '3', '7', '24', '17']",3.797425811539994,8.895828631264221
1.0,"['6', '4', '5', '1', '10', '12', '15', '2', '7']",3.7305459906337615,8.304796432277534
1.0,"['6', '4', '5', '14', '1', '10', '15', '3', '7']",3.559294607248427,7.961680423242409
1.0,"['4', '5', '14', '1', '10', '15', '2', '3', '7']",3.5741091412373343,7.9150396628096455
3.0,"['4', '6', '14', '1', '10', '12', '2', '7', '17']",3.5952089495249226,8.114365172229537
6.0,"['9', '4', '5', '1', '14', '10', '15', '2', '7']",3.908865427245597,8.796609634326591
5.0,"['9', '4', '5', '1', '14', '10', '15', '2', '7']",3.908865427245597,8.796609634326591
7.0,"['4', '6', '5', '14', '10', '2', '12', '17', '7']",3.739696674794732,8.413525170703938
14.0,"['9', '4', '5', '14', '10', '1', '6', '15', '7']",3.9505590347273483,8.960397659635538
11.0,"['9', '4', '5', '14', '10', '1', '2', '15', '7']",3.949969074895828,8.903753327487054
5.0,"['9', '4', '5', '10', '2', '3', '15', '17', '7']",3.527207344339112,7.734462097581522
4.0,"['9', '4', '5', '14', '10', '1', '6', '15', '7']",3.9505590347273483,8.960397659635538
5.0,"['9', '4', '5', '14', '10', '1', '6', '2', '7']",4.219213088260518,9.714475896513619
3.0,"['9', '10', '14', '5', '3', '12', '2', '17', '7']",3.695581895449452,8.309384316801125
4.0,"['9', '4', '1', '5', '14', '10', '2', '12', '7']",4.1070555949408485,9.418525210346147
4.0,"['9', '4', '5', '1', '10', '14', '3', '15', '7']",3.715171056861432,8.291955186866288
