Score,Lineup,score2,vari
0.0,"['10', '4', '7', '12', '2', '20', '9', '14', '21']",2.277104532492359,4.73526993484869
2.0,"['5', '7', '4', '8', '20', '2', '9', '11', '12']",3.2262453422436197,7.201334515053825
1.0,"['10', '7', '4', '20', '2', '5', '9', '14', '1']",3.272679503159812,7.38019467517762
7.0,"['5', '7', '4', '8', '2', '20', '10', '11', '12']",3.3150977869799245,7.379540032685519
6.0,"['10', '4', '7', '2', '12', '9', '14', '1', '21']",2.758705165798945,5.837264498658523
2.0,"['5', '7', '10', '20', '2', '8', '12', '11', '21']",2.808153729894326,6.034306657738926
3.0,"['10', '4', '7', '2', '12', '9', '14', '1', '21']",2.758705165798945,5.837264498658523
5.0,"['6', '7', '4', '8', '5', '2', '10', '11', '1']",4.110768310233893,9.490258192692387
1.0,"['6', '7', '4', '8', '2', '5', '9', '14', '12']",3.5381349668137574,8.065928769752192
3.0,"['6', '7', '10', '8', '4', '2', '5', '14', '1']",3.985714609573888,9.172811145655038
3.0,"['10', '5', '7', '4', '8', '2', '9', '12', '21']",2.997205616317243,6.489711420876594
3.0,"['5', '16', '7', '8', '2', '4', '6', '11', '1']",4.065620382562964,9.34050473160838
7.0,"['10', '16', '7', '4', '12', '2', '9', '14', '1']",3.3804519199289276,7.654452200342478
7.0,"['5', '7', '4', '8', '2', '6', '11', '12', '10']",3.7613109977955106,8.618695855850067
4.0,"['5', '7', '4', '8', '6', '2', '9', '11', '12']",3.703469092982481,8.481960717426269
1.0,"['5', '7', '4', '8', '16', '2', '10', '14', '1']",3.8279614790656846,8.77394571580594
2.0,"['5', '7', '4', '8', '6', '2', '16', '12', '10']",3.757874120374346,8.634780228736206
1.0,"['5', '7', '4', '8', '2', '10', '9', '14', '1']",3.8550709782032575,8.84273904654581
1.0,"['5', '4', '7', '8', '2', '11', '6', '16', '12']",3.6884518147125864,8.394423253869949
1.0,"['6', '7', '10', '8', '11', '2', '16', '1', '14']",4.15105320858336,9.729745169332105
4.0,"['6', '7', '4', '5', '8', '2', '9', '11', '12']",3.690094119207193,8.470019388049613
4.0,"['10', '4', '12', '2', '16', '9', '14', '1', '8']",3.3598453485294573,7.529307609356408
2.0,"['11', '7', '4', '5', '8', '2', '6', '1', '10']",4.111197875929638,9.50626072231567
4.0,"['11', '7', '2', '5', '8', '12', '9', '6', '14']",3.7387803944861546,8.656600856208915
7.0,"['11', '7', '4', '2', '5', '6', '10', '1', '13']",3.9477602464266965,9.086867135977077
4.0,"['11', '7', '4', '5', '12', '6', '9', '10', '3']",3.4380147882604786,7.881404319716253
3.0,"['11', '7', '4', '2', '5', '6', '10', '1', '3']",3.9948804773543203,9.17806063665668
6.0,"['10', '4', '7', '12', '2', '14', '3', '1', '13']",3.4773475060857773,7.81940769882716
8.0,"['11', '7', '4', '5', '2', '6', '10', '12', '3']",3.6331697173288053,8.294223212376046
2.0,"['11', '7', '4', '5', '2', '12', '10', '3', '1']",3.646248221987239,8.211117897599982
5.0,"['10', '3', '4', '12', '2', '14', '9', '13', '1']",3.31923188632925,7.43724271201069
6.0,"['11', '7', '4', '5', '2', '6', '10', '12', '13']",3.585123189458951,8.198778067960538
6.0,"['10', '4', '7', '2', '3', '12', '9', '14', '1']",3.4894844949239627,7.861181333172743
6.0,"['11', '7', '4', '5', '2', '6', '9', '3', '12']",3.5814728895250667,8.176831547695626
0.0,"['11', '7', '4', '5', '2', '6', '10', '3', '1']",3.998249549312919,9.198854789018581
5.0,"['11', '4', '7', '2', '3', '6', '9', '10', '1']",3.9994802242280536,9.230187276739079
2.0,"['10', '4', '7', '2', '3', '12', '9', '14', '1']",3.4894844949239627,7.861181333172743
0.0,"['11', '7', '4', '2', '5', '3', '6', '12', '10']",3.6357178225695757,8.2898201419561
5.0,"['11', '7', '4', '2', '5', '3', '6', '10', '1']",3.998397725213061,9.178235603260024
4.0,"['11', '7', '4', '2', '5', '6', '9', '3', '12']",3.580633416845623,8.160504858200996
0.0,"['10', '3', '4', '2', '12', '14', '9', '13', '1']",3.3356774331512757,7.437967268551654
8.0,"['11', '4', '7', '2', '3', '5', '6', '12', '10']",3.6331218935304608,8.283849192633193
2.0,"['10', '4', '7', '2', '3', '14', '9', '12', '1']",3.482811442664359,7.799197141390094
4.0,"['11', '4', '7', '2', '3', '5', '6', '10', '1']",3.997765180797375,9.192609073797906
8.0,"['11', '7', '4', '2', '5', '6', '10', '12', '13']",3.5855935118391473,8.183488345581871
