Score,Lineup,score2,vari
0.0,"['4', '8', '1', '9', '21', '3', '17', '7', '6']",3.5620163388726334,7.780948039373971
0.0,"['4', '8', '1', '9', '21', '17', '7', '22', '13']",2.8205991553756227,5.953083909149963
4.0,"['8', '4', '9', '1', '3', '6', '7', '16', '12']",3.3727465459453554,7.289002811891274
9.0,"['8', '9', '4', '3', '7', '17', '16', '13', '22']",2.567315890820596,5.239579213311087
1.0,"['4', '6', '1', '21', '12', '17', '16', '22', '13']",2.2800231194226006,4.612643254775558
0.0,"['4', '8', '9', '1', '3', '2', '21', '13', '16']",3.161763319013392,6.812360109906269
3.0,"['4', '8', '1', '9', '6', '3', '17', '2', '22']",3.1352163782269016,6.585196885081665
3.0,"['8', '3', '1', '9', '7', '17', '13', '16', '12']",2.8639569059216585,6.131352168201609
6.0,"['4', '6', '8', '1', '21', '9', '12', '17', '7']",3.5038223690472443,7.705953923435571
1.0,"['8', '4', '9', '1', '3', '7', '21', '13', '16']",3.1366867997463834,6.692013946941632
2.0,"['4', '6', '9', '1', '12', '13', '17', '22', '16']",2.521232310368651,5.049807669778417
5.0,"['4', '8', '1', '9', '6', '3', '21', '7', '17']",3.582760146470277,7.822063827220044
10.0,"['8', '4', '9', '1', '7', '21', '3', '6', '13']",3.6360758698406226,8.072249346492702
3.0,"['8', '4', '9', '1', '7', '6', '3', '21', '13']",3.660571104614743,8.1202905909148
3.0,"['4', '8', '9', '1', '7', '3', '17', '13', '16']",3.1818281642163884,6.841429399921784
4.0,"['4', '8', '9', '1', '6', '7', '21', '12', '13']",3.595286105801851,8.063940174697791
0.0,"['4', '8', '9', '1', '7', '17', '12', '13', '22']",2.840816858927691,5.96848015612375
2.0,"['4', '8', '1', '9', '21', '3', '6', '7', '13']",3.6140392114902093,8.050744146519383
3.0,"['4', '6', '9', '1', '21', '8', '12', '17', '16']",3.1518881374472616,6.702887981371482
0.0,"['4', '8', '9', '1', '3', '7', '6', '13', '16']",3.372794420559531,7.304628078078723
11.0,"['4', '6', '9', '1', '12', '8', '17', '22', '7']",3.0008993536767847,6.285146786308074
3.0,"['4', '8', '1', '9', '6', '3', '12', '7', '11']",3.8936887637197293,8.710017714538541
4.0,"['4', '6', '9', '1', '21', '3', '12', '17', '16']",3.033467641637744,6.37940938916574
