Score,Lineup,score2,vari
1.0,"['6', '7', '9', '5', '8', '10', '3', '13', '15']",5.805276660040918,14.03594752330077
13.0,"['6', '7', '9', '5', '8', '25', '10', '13', '15']",5.4982272127149034,13.176246090227902
6.0,"['6', '7', '9', '8', '3', '10', '13', '15', '19']",5.603372490713193,13.283236356308034
7.0,"['6', '7', '9', '8', '25', '3', '13', '10', '15']",5.500859840612156,12.844200002178777
2.0,"['6', '7', '9', '8', '25', '3', '10', '1', '19']",5.356981416721161,12.701638063913695
4.0,"['6', '7', '9', '8', '3', '25', '13', '10', '15']",5.520518297740149,12.879336695934171
3.0,"['6', '7', '9', '8', '25', '3', '13', '15', '19']",5.245315234467959,12.220599247312734
9.0,"['6', '7', '9', '5', '8', '25', '13', '10', '1']",5.40653309379154,13.139946260162013
11.0,"['6', '7', '9', '5', '8', '3', '10', '13', '15']",5.810827285155823,14.038388420354849
4.0,"['6', '7', '9', '8', '3', '10', '13', '15', '19']",5.603372490713193,13.283236356308034
2.0,"['6', '7', '9', '5', '8', '10', '25', '13', '15']",5.507966699136498,13.18170518814846
3.0,"['6', '7', '5', '8', '10', '3', '13', '15', '21']",4.862940404398139,11.501593523416979
3.0,"['6', '7', '9', '5', '8', '25', '3', '10', '15']",5.640054046516385,13.374925418280451
7.0,"['6', '7', '9', '5', '8', '13', '3', '4', '1']",5.381377886725388,12.93807100491215
1.0,"['4', '7', '9', '5', '8', '13', '10', '3', '15']",5.508587117508753,13.075374046595986
5.0,"['4', '9', '6', '8', '13', '25', '3', '15', '21']",4.724536051814406,10.640238365378345
5.0,"['6', '9', '7', '5', '8', '25', '13', '4', '15']",5.180721903849553,12.122264750061824
2.0,"['6', '9', '7', '5', '8', '13', '3', '1', '4']",5.359138093201501,12.865249512973968
3.0,"['6', '9', '7', '5', '8', '3', '10', '15', '4']",5.74634589773941,13.731548163048174
2.0,"['6', '9', '5', '8', '3', '13', '10', '4', '17']",5.004553822671959,11.732426475834544
8.0,"['10', '7', '9', '5', '8', '13', '3', '1', '4']",5.405247748780121,12.996338999180566
4.0,"['6', '7', '9', '8', '10', '13', '25', '17', '4']",5.033374555968005,11.592832930292815
10.0,"['6', '7', '9', '5', '8', '3', '10', '17', '4']",5.501103038555293,13.07704051191742
5.0,"['6', '7', '9', '5', '3', '10', '13', '1', '4']",5.520711121537582,13.375325326966841
11.0,"['6', '7', '9', '5', '8', '3', '13', '1', '4']",5.402897457556924,12.986955190855564
8.0,"['6', '7', '9', '5', '8', '3', '10', '13', '17']",5.550596130264029,13.342764922058507
1.0,"['6', '7', '9', '5', '8', '3', '13', '17', '4']",5.261377448177427,12.421753920575469
5.0,"['4', '7', '9', '5', '8', '3', '6', '13', '17']",5.256401358352662,12.415435971144642
3.0,"['4', '7', '9', '8', '3', '1', '13', '25', '10']",5.126506194084021,11.888285080561847
5.0,"['4', '7', '8', '5', '3', '6', '13', '10', '17']",4.534204307177866,10.613939471212607
