Score,Lineup,score2,vari
2.0,"['6', '20', '13', '10', '18', '8', '5', '1', '7']",3.3985147124415795,7.694355525221605
1.0,"['7', '13', '10', '18', '9', '8', '1', '6', '4']",3.3381856147223092,7.223130784807667
0.0,"['7', '13', '10', '18', '9', '8', '1', '6', '4']",3.3381856147223092,7.223130784807667
11.0,"['6', '5', '13', '10', '20', '8', '2', '1', '7']",3.640937400594917,8.419902460913722
4.0,"['6', '5', '13', '10', '18', '8', '2', '14', '7']",3.4837905528055617,7.849593505886492
4.0,"['6', '5', '18', '10', '8', '1', '2', '4', '7']",3.4058436412766615,7.628953240361474
5.0,"['6', '2', '13', '10', '18', '8', '5', '1', '7']",3.5934815164020333,8.056648542093036
0.0,"['7', '13', '10', '18', '8', '9', '1', '5', '4']",3.384782278499968,7.342455636926136
0.0,"['6', '5', '13', '18', '2', '8', '1', '20', '7']",3.583725581497158,8.266382732833904
1.0,"['6', '2', '13', '8', '5', '15', '20', '1', '7']",3.3838391640918544,7.653201764479228
8.0,"['6', '2', '18', '9', '5', '15', '20', '1', '7']",3.826584949870838,8.760249362461229
8.0,"['6', '2', '8', '9', '5', '13', '18', '15', '14']",3.6814652039763622,8.221687661618589
7.0,"['7', '8', '9', '18', '13', '15', '14', '1', '4']",3.1636362427100364,6.673363154935659
6.0,"['6', '2', '9', '8', '5', '13', '20', '1', '7']",3.9323770825480304,9.116952135198572
2.0,"['6', '5', '9', '8', '13', '18', '20', '14', '7']",3.549047351516864,8.11093376506961
3.0,"['7', '6', '9', '8', '5', '13', '1', '2', '15']",3.536914516955116,7.8558012401792965
1.0,"['7', '2', '13', '9', '6', '18', '1', '20', '15']",3.7174108109896533,8.407876487477207
0.0,"['7', '2', '13', '9', '5', '6', '14', '20', '15']",3.6546064958224966,8.362669213866194
2.0,"['7', '13', '18', '1', '14', '15', '21', '13', '20']",3.0259264939244948,6.622414624641365
5.0,"['7', '2', '9', '5', '13', '20', '1', '6', '15']",3.7621211318704852,8.571702342738883
3.0,"['7', '13', '18', '9', '14', '13', '1', '15', '20']",3.3775216934639425,7.364268332822855
2.0,"['7', '2', '18', '5', '20', '13', '6', '1', '21']",3.5870962553038375,8.372399558899797
11.0,"['7', '13', '9', '18', '1', '13', '14', '15', '6']",3.29051060187544,7.01283162196637
3.0,"['7', '2', '9', '5', '18', '20', '1', '6', '15']",3.852317277684908,8.811830591322902
3.0,"['7', '13', '9', '18', '14', '13', '1', '15', '20']",3.385031492047591,7.387010611260806
7.0,"['7', '20', '9', '5', '1', '2', '13', '6', '21']",3.9083810711819353,9.261032371669195
7.0,"['7', '2', '9', '1', '20', '13', '5', '15', '6']",3.7517019737160417,8.52832031547439
2.0,"['7', '2', '9', '14', '20', '8', '5', '13', '13']",3.8316386652433003,8.80709178680271
5.0,"['7', '8', '9', '18', '14', '1', '13', '5', '15']",3.3449642146448415,7.157831708790175
1.0,"['7', '2', '9', '8', '5', '1', '20', '6', '4']",3.783149138938599,8.754203688356839
2.0,"['7', '6', '9', '8', '12', '1', '5', '2', '4']",3.7514898918404693,8.571828811116509
3.0,"['7', '6', '9', '8', '12', '18', '14', '5', '4']",3.4330071141048695,7.746477926077329
12.0,"['7', '2', '9', '8', '12', '1', '6', '5', '4']",3.820260606101417,8.741501400210742
5.0,"['7', '2', '9', '8', '12', '1', '6', '5', '15']",3.8033922008572527,8.553505919511572
1.0,"['7', '2', '9', '18', '8', '14', '13', '15', '4']",3.4482053971983406,7.5369234118641835
2.0,"['7', '14', '9', '18', '8', '13', '1', '15', '4']",3.186153769992175,6.739366005790913
5.0,"['7', '2', '9', '12', '1', '6', '13', '5', '4']",3.8316669688014016,8.752211251213552
3.0,"['7', '2', '9', '12', '13', '6', '14', '5', '15']",3.734702224932572,8.430242338067064
0.0,"['7', '2', '9', '12', '1', '5', '13', '6', '4']",3.8332087629506644,8.760149021421617
9.0,"['7', '8', '9', '18', '14', '13', '1', '15', '4']",3.1756449139038003,6.71924566441821
0.0,"['7', '2', '12', '1', '5', '8', '13', '6', '4']",3.4818592141030957,7.89470899036357
3.0,"['7', '13', '9', '14', '18', '8', '13', '1', '4']",3.281429416501363,7.023213266669693
2.0,"['7', '2', '9', '12', '1', '8', '5', '13', '4']",3.837107548452254,8.667972958549857
9.0,"['7', '9', '13', '14', '18', '8', '1', '13', '4']",3.2867361131886708,7.047099314328213
3.0,"['7', '2', '9', '12', '14', '5', '8', '6', '4']",3.764694691452494,8.66019122746327
1.0,"['7', '2', '9', '1', '12', '8', '5', '13', '13']",3.9433005623696973,8.860795925948468
2.0,"['7', '2', '9', '1', '5', '8', '12', '6', '4']",3.8147643701742675,8.70216720703063
0.0,"['7', '9', '8', '18', '13', '14', '1', '13', '4']",3.2872784203474374,7.042394620189599
2.0,"['7', '2', '9', '10', '12', '5', '1', '6', '4']",3.934388126253241,9.039429259455394
2.0,"['7', '9', '8', '18', '14', '13', '1', '5', '4']",3.337939215938403,7.265974218665933
1.0,"['7', '2', '10', '1', '12', '8', '5', '13', '6']",3.7116134993583643,8.40831123362473
2.0,"['7', '2', '9', '10', '1', '12', '5', '4', '6']",3.9356138335710296,9.015966618596192
2.0,"['7', '2', '9', '10', '14', '8', '13', '5', '4']",3.673333122999333,8.277421191104061
3.0,"['7', '9', '10', '8', '18', '13', '1', '6', '4']",3.3639567752752573,7.304447567076311
1.0,"['2', '9', '10', '1', '12', '8', '6', '5', '4']",3.9504905684749057,9.013965312210445
7.0,"['7', '2', '10', '13', '12', '8', '1', '5', '19']",3.520079714672368,7.975981152888446
2.0,"['7', '2', '10', '13', '8', '12', '19', '1', '4']",3.310364415604181,7.333203283295427
2.0,"['7', '9', '2', '8', '14', '13', '19', '5', '4']",3.355192118868131,7.517728213606855
0.0,"['7', '2', '9', '10', '13', '12', '19', '1', '6']",3.8111321844781636,8.637826356177891
1.0,"['7', '2', '8', '10', '12', '5', '1', '6', '4']",3.5593183424133725,8.103639829108776
5.0,"['7', '2', '8', '12', '9', '13', '5', '1', '4']",3.795526204830774,8.605492728598353
4.0,"['7', '2', '9', '10', '14', '12', '19', '5', '4']",3.672876315187319,8.398138394462205
11.0,"['7', '2', '9', '10', '13', '12', '1', '5', '19']",3.8822667417238375,8.887969397765653
9.0,"['2', '10', '9', '8', '5', '19', '12', '1', '15']",3.6908181220119873,8.174012579597575
5.0,"['7', '2', '10', '8', '5', '19', '12', '1', '15']",3.3637072262266163,7.447738248885976
