Score,Lineup,score2,vari
7.0,"['4', '6', '1', '16', '8', '3', '5', '11', '7']",4.364244544909421,9.949953781859524
3.0,"['4', '6', '1', '16', '8', '3', '5', '11', '7']",4.364244544909421,9.949953781859524
1.0,"['4', '6', '1', '8', '5', '14', '10', '3', '15']",4.338291943656467,9.753269572740596
1.0,"['4', '6', '1', '8', '5', '16', '10', '3', '7']",4.42897911936042,10.033368041824719
4.0,"['4', '6', '5', '16', '8', '3', '11', '7', '13']",4.039922504275091,9.144331299739587
2.0,"['4', '6', '1', '16', '8', '3', '5', '11', '15']",4.176272715543017,9.383966059433813
5.0,"['4', '6', '1', '8', '3', '5', '11', '2', '7']",4.720159686357349,10.936880843592434
3.0,"['4', '6', '1', '8', '5', '14', '10', '3', '15']",4.338291943656467,9.753269572740596
4.0,"['4', '6', '1', '8', '3', '5', '7', '10', '11']",4.767584892705675,10.995236015618019
15.0,"['3', '4', '6', '8', '5', '7', '11', '2', '13']",4.428497303461658,10.160298680563049
4.0,"['4', '6', '1', '8', '5', '14', '10', '3', '15']",4.338291943656467,9.753269572740596
2.0,"['3', '4', '6', '8', '1', '7', '5', '11', '2']",4.743487676589676,10.951772296453136
2.0,"['3', '4', '6', '8', '1', '5', '14', '10', '15']",4.351477447720505,9.777826515860248
8.0,"['3', '4', '6', '8', '7', '1', '5', '11', '10']",4.789996731489093,11.04069847586787
0.0,"['3', '4', '6', '8', '7', '5', '11', '10', '13']",4.486788891002314,10.274244623398896
14.0,"['3', '4', '6', '8', '7', '1', '5', '11', '14']",4.534371729103853,10.344428339699661
7.0,"['3', '4', '6', '8', '7', '1', '5', '11', '14']",4.534371729103853,10.344428339699661
0.0,"['3', '4', '6', '8', '7', '5', '2', '13', '15']",4.647660578834208,10.81227242215774
5.0,"['3', '4', '6', '8', '7', '1', '5', '11', '14']",4.534371729103853,10.344428339699661
0.0,"['3', '4', '6', '8', '7', '1', '5', '11', '14']",4.534371729103853,10.344428339699661
4.0,"['3', '4', '6', '8', '7', '1', '5', '11', '10']",4.789996731489093,11.04069847586787
4.0,"['4', '5', '6', '8', '1', '10', '14', '7', '15']",4.612893703837723,10.558828971398096
9.0,"['3', '4', '6', '8', '7', '1', '5', '2', '10']",4.7798358829260374,11.001821083825536
3.0,"['3', '4', '6', '8', '1', '5', '10', '7', '15']",4.996494031093912,11.711659830178554
6.0,"['3', '4', '6', '8', '7', '1', '5', '11', '10']",4.789996731489093,11.04069847586787
1.0,"['3', '4', '6', '8', '7', '5', '2', '10', '13']",4.477516487884117,10.240563562361615
3.0,"['3', '4', '6', '8', '1', '5', '14', '10', '15']",4.351477447720505,9.777826515860248
6.0,"['3', '4', '6', '8', '7', '1', '5', '2', '11']",4.7529017954399135,10.995200405452092
3.0,"['3', '4', '6', '8', '7', '1', '5', '2', '10']",4.7798358829260374,11.001821083825536
4.0,"['3', '4', '6', '8', '7', '1', '5', '2', '10']",4.7798358829260374,11.001821083825536
1.0,"['6', '4', '9', '8', '3', '1', '5', '7', '10']",5.371449778518296,12.848263358706014
6.0,"['6', '4', '9', '8', '3', '5', '7', '10', '13']",5.059709289092333,12.017697645718975
3.0,"['6', '4', '9', '8', '1', '5', '14', '10', '19']",4.403837678568279,10.02719540645705
4.0,"['6', '4', '9', '8', '3', '1', '5', '7', '10']",5.371449778518296,12.848263358706014
6.0,"['3', '4', '9', '8', '6', '1', '5', '7', '10']",5.436991037776487,13.034050346188785
8.0,"['3', '4', '9', '8', '6', '1', '5', '7', '10']",5.436991037776487,13.034050346188785
2.0,"['3', '4', '9', '8', '6', '1', '5', '7', '10']",5.436991037776487,13.034050346188785
6.0,"['4', '5', '9', '8', '6', '1', '10', '14', '19']",4.499351071060631,10.366381475240587
7.0,"['3', '4', '9', '8', '6', '5', '7', '2', '13']",5.079702949838704,12.103387672874916
0.0,"['3', '4', '9', '8', '6', '1', '5', '7', '10']",5.436991037776487,13.034050346188785
3.0,"['3', '4', '9', '8', '6', '1', '5', '7', '10']",5.436991037776487,13.034050346188785
3.0,"['3', '4', '9', '8', '6', '1', '5', '7', '2']",5.395581587829918,12.977446803583408
4.0,"['3', '4', '9', '8', '6', '1', '5', '7', '2']",5.395581587829918,12.977446803583408
1.0,"['3', '4', '9', '8', '6', '1', '5', '7', '10']",5.436991037776487,13.034050346188785
12.0,"['3', '8', '9', '1', '6', '5', '7', '2', '10']",5.18632895298798,12.273240659333872
2.0,"['4', '8', '9', '1', '6', '5', '10', '14', '19']",4.454198117422999,10.189470559229566
3.0,"['4', '8', '9', '1', '6', '5', '3', '14', '19']",4.546347009200758,10.491348596002666
3.0,"['3', '4', '9', '8', '6', '1', '2', '10', '19']",4.642105438888312,10.792436731220672
6.0,"['3', '4', '9', '8', '6', '2', '5', '7', '13']",5.047771520315434,12.066109254952533
5.0,"['3', '4', '9', '8', '6', '1', '5', '7', '10']",5.436991037776487,13.034050346188785
6.0,"['3', '4', '9', '8', '6', '1', '5', '7', '14']",5.141252339047434,12.189133765417232
