Score,Lineup,score2,vari
5.0,"['23', '6', '9', '2', '24', '5', '7', '3', '1']",4.255087247759506,10.13489369471225
2.0,"['5', '6', '9', '2', '10', '23', '12', '3', '1']",4.438803246176851,10.651929618134137
1.0,"['23', '6', '9', '2', '21', '5', '10', '3', '1']",4.483149478490727,10.63544202795351
7.0,"['23', '6', '21', '2', '5', '24', '7', '12', '16']",4.345378739708234,10.0429992196498
4.0,"['23', '6', '9', '2', '21', '5', '24', '3', '27']",3.919116370263726,9.087750435121945
4.0,"['23', '6', '9', '2', '5', '7', '12', '3', '16']",4.996447468366833,12.450794693372153
13.0,"['23', '6', '9', '2', '5', '7', '10', '3', '16']",5.163084706591176,12.922412843276152
5.0,"['23', '6', '9', '2', '21', '5', '3', '12', '16']",4.669533187947605,11.264127343109056
1.0,"['23', '6', '5', '2', '21', '24', '12', '7', '27']",3.9764470337435376,9.01832620286742
2.0,"['5', '6', '9', '2', '21', '10', '12', '22', '16']",4.63238509549574,11.083601209366336
7.0,"['3', '6', '21', '2', '5', '24', '12', '7', '16']",3.8922488433910654,8.679323908077816
0.0,"['3', '6', '9', '2', '5', '10', '7', '22', '27']",4.32998290414171,10.374841680782609
5.0,"['5', '9', '2', '21', '10', '12', '22', '3', '16']",4.300036861019729,10.195352453593983
0.0,"['3', '6', '9', '10', '7', '12', '24', '22', '1']",3.95125765072751,9.343066662885398
6.0,"['5', '6', '9', '2', '10', '12', '22', '3', '16']",4.465965434366274,10.859661997840625
4.0,"['5', '6', '9', '2', '24', '7', '12', '4', '1']",3.8825293077299645,8.903377084535942
14.0,"['5', '6', '9', '2', '10', '12', '22', '3', '1']",4.127745054398613,9.770689874391373
5.0,"['5', '6', '10', '2', '7', '24', '3', '4', '1']",3.6003742542815917,8.035326574216834
14.0,"['5', '6', '9', '2', '10', '12', '22', '7', '16']",4.995377073499653,12.391963621275377
4.0,"['5', '6', '9', '2', '10', '7', '12', '3', '1']",4.431850636351152,10.51839569954696
4.0,"['5', '6', '9', '2', '10', '7', '22', '12', '1']",4.644232309272656,11.211795766746153
2.0,"['5', '6', '10', '2', '7', '12', '3', '4', '1']",3.9067081027990898,8.907986699187651
2.0,"['5', '4', '9', '2', '7', '12', '24', '3', '16']",3.8751246009488636,9.053489308274402
7.0,"['5', '4', '9', '2', '7', '10', '12', '3', '1']",4.05784580108767,9.478253650807915
8.0,"['5', '6', '9', '2', '7', '10', '12', '3', '16']",4.762976542815765,11.522545669333194
6.0,"['4', '6', '9', '10', '12', '7', '22', '28', '1']",4.24918031961316,10.066011402473396
