Score,Lineup,score2,vari
2.0,"['7', '6', '5', '4', '2', '9', '12', '3', '25']",4.579076014987744,10.384965430146014
1.0,"['4', '6', '5', '13', '2', '12', '3', '7', '16']",4.50355167154588,10.646265844017979
8.0,"['7', '5', '6', '4', '2', '9', '10', '11', '25']",4.883629889865714,11.21011803177614
3.0,"['4', '5', '6', '13', '2', '3', '12', '7', '16']",4.444105707578628,10.431546217358285
5.0,"['7', '6', '5', '4', '2', '9', '10', '11', '3']",5.499336684980814,13.7145085749093
6.0,"['7', '6', '5', '4', '2', '9', '12', '25', '3']",4.592769761433828,10.484639423825286
6.0,"['7', '6', '5', '4', '2', '9', '12', '11', '3']",4.974929737272718,12.166759082039821
5.0,"['4', '6', '5', '13', '2', '3', '12', '7', '16']",4.492906293345343,10.590247101937667
4.0,"['7', '5', '6', '4', '9', '2', '10', '11', '3']",5.477767910838112,13.630708661247667
10.0,"['4', '5', '6', '13', '2', '3', '12', '7', '16']",4.444105707578628,10.431546217358285
0.0,"['7', '5', '6', '4', '9', '2', '3', '11', '12']",4.983887090599269,12.163501348525024
4.0,"['4', '5', '6', '13', '2', '3', '10', '7', '18']",4.74290334773921,11.17031652200211
2.0,"['7', '5', '6', '4', '2', '9', '12', '11', '18']",4.340095141593525,10.037120866268324
3.0,"['7', '5', '6', '4', '13', '2', '3', '11', '12']",4.695359012496368,11.208203633621487
2.0,"['4', '5', '6', '13', '3', '10', '18', '7', '16']",4.554105492947542,10.604191579098373
10.0,"['7', '5', '6', '4', '13', '2', '9', '12', '16']",4.456240532948285,10.444942690224845
0.0,"['4', '5', '6', '13', '2', '3', '12', '7', '16']",4.444105707578628,10.431546217358285
0.0,"['4', '6', '5', '13', '2', '3', '12', '16', '18']",4.059526545125332,9.18856059466669
1.0,"['7', '5', '6', '4', '9', '2', '3', '11', '17']",4.949980619602964,11.987927142372367
1.0,"['7', '5', '6', '4', '9', '2', '3', '12', '16']",4.765968521246993,11.433622079915196
7.0,"['8', '6', '5', '4', '2', '9', '3', '7', '12']",5.147325985847773,12.656499689547402
0.0,"['8', '6', '5', '4', '2', '13', '7', '3', '17']",4.820611652396194,11.484016436762872
5.0,"['7', '8', '6', '4', '9', '2', '3', '11', '12']",4.946049383276371,12.089708931411451
7.0,"['8', '6', '5', '4', '2', '9', '3', '7', '12']",5.147325985847773,12.656499689547402
0.0,"['8', '6', '5', '4', '2', '3', '9', '12', '7']",5.1381747436722325,12.59888701958809
5.0,"['8', '6', '5', '4', '13', '2', '3', '12', '16']",4.567174209788975,10.711189579985703
2.0,"['2', '8', '6', '4', '5', '9', '7', '3', '17']",5.115508696735917,12.46872299139143
