Score,Lineup,score2,vari
3.0,"['7', '3', '2', '8', '1', '5', '6', '20', '4']",4.010909211267753,9.384520779639459
4.0,"['7', '3', '2', '8', '1', '5', '6', '19', '4']",3.5576981693428866,7.960169062270875
0.0,"['7', '3', '2', '5', '6', '8', '20', '12', '4']",4.094241485005203,9.626786866280657
5.0,"['7', '3', '2', '5', '1', '8', '6', '14', '4']",3.949301991497572,9.023950985890918
3.0,"['7', '2', '8', '5', '14', '16', '12', '19', '4']",3.824086137039192,8.654062234946897
11.0,"['7', '2', '8', '5', '1', '14', '16', '12', '4']",4.64370376314822,10.957373289298957
3.0,"['7', '2', '5', '1', '8', '3', '14', '6', '4']",4.015667027509781,9.176618996981507
5.0,"['7', '2', '5', '1', '8', '3', '6', '19', '4']",3.614223610353471,8.062879070325423
3.0,"['7', '2', '5', '1', '8', '6', '3', '12', '4']",4.454052208256461,10.37055030541266
6.0,"['7', '2', '5', '1', '8', '6', '14', '3', '4']",4.021958325401566,9.191368505773383
2.0,"['7', '2', '5', '8', '14', '16', '12', '19', '4']",3.8318197197872688,8.675015219269119
9.0,"['7', '2', '5', '1', '8', '6', '3', '20', '4']",4.076384335460802,9.542546651601512
5.0,"['7', '2', '5', '1', '8', '6', '19', '3', '4']",3.640077621089804,8.159576113873012
5.0,"['7', '2', '5', '8', '14', '6', '12', '16', '4']",4.606448881569262,10.945906370432112
9.0,"['7', '2', '5', '1', '8', '6', '20', '3', '4']",4.053601291828625,9.432194293043892
1.0,"['7', '2', '5', '1', '8', '6', '14', '3', '4']",4.021958325401566,9.191368505773383
3.0,"['7', '2', '5', '1', '8', '6', '19', '3', '4']",3.640077621089804,8.159576113873012
5.0,"['7', '2', '5', '1', '8', '6', '20', '10', '3']",3.696562426140047,8.40531124171499
3.0,"['7', '2', '5', '8', '14', '6', '12', '10', '4']",4.4027900120578325,10.284302225261406
5.0,"['7', '2', '5', '8', '14', '6', '12', '10', '4']",4.4027900120578325,10.284302225261406
5.0,"['7', '2', '5', '1', '8', '6', '14', '3', '4']",4.021958325401566,9.191368505773383
3.0,"['7', '2', '5', '1', '8', '6', '14', '3', '4']",4.021958325401566,9.191368505773383
5.0,"['7', '2', '5', '8', '14', '6', '1', '10', '4']",4.316962251357221,10.058197738751812
5.0,"['7', '2', '6', '5', '8', '1', '14', '3', '4']",4.0267849498423685,9.258933424440563
0.0,"['7', '2', '5', '8', '14', '6', '12', '10', '4']",4.4027900120578325,10.284302225261406
2.0,"['7', '2', '6', '5', '8', '1', '4', '10', '3']",4.181387014091245,9.753231841539531
0.0,"['7', '6', '5', '1', '8', '4', '3', '12', '16']",4.67916163186194,11.12476193800546
10.0,"['4', '5', '6', '1', '8', '18', '20', '16', '3']",4.216629910304184,10.036470408365005
2.0,"['4', '2', '6', '5', '1', '8', '18', '14', '10']",4.279009700623997,10.0230724105285
7.0,"['7', '2', '6', '5', '8', '12', '14', '4', '10']",4.394629798313385,10.290840657127944
5.0,"['7', '2', '6', '5', '1', '8', '4', '18', '3']",4.347386389785927,10.119123219008795
4.0,"['7', '2', '6', '5', '1', '8', '4', '18', '3']",4.347386389785927,10.119123219008795
7.0,"['7', '2', '6', '5', '1', '8', '4', '12', '3']",4.501853417005022,10.505784206557454
3.0,"['7', '2', '6', '5', '1', '8', '4', '10', '18']",4.658885454766577,11.067144135668102
1.0,"['7', '2', '6', '5', '1', '8', '18', '10', '3']",3.9805319141474094,9.138153143270188
5.0,"['7', '2', '6', '5', '8', '14', '12', '10', '16']",4.202304886109513,9.848619073843746
3.0,"['4', '2', '6', '5', '1', '7', '8', '14', '3']",4.055841599220113,9.348046439953507
9.0,"['4', '2', '7', '6', '5', '8', '12', '14', '10']",4.411591801630395,10.355863585085437
5.0,"['4', '2', '6', '7', '5', '1', '8', '18', '3']",4.338535705367174,10.1316605907014
3.0,"['4', '2', '7', '5', '12', '8', '10', '14', '16']",4.451959238467423,10.578887318212299
10.0,"['4', '2', '7', '6', '5', '1', '8', '18', '3']",4.329998721956643,10.111310894608092
4.0,"['4', '2', '7', '6', '5', '1', '8', '18', '3']",4.329998721956643,10.111310894608092
3.0,"['4', '2', '7', '6', '5', '1', '8', '18', '10']",4.648604812228663,11.07718740068848
2.0,"['4', '2', '7', '6', '5', '1', '8', '18', '10']",4.648604812228663,11.07718740068848
7.0,"['4', '2', '7', '6', '5', '8', '18', '12', '10']",4.71515086303355,11.25076306339869
2.0,"['4', '2', '7', '6', '5', '8', '14', '12', '10']",4.385753090664354,10.271631992948905
11.0,"['4', '2', '7', '6', '5', '1', '8', '14', '10']",4.337700630596184,10.174341260807417
3.0,"['4', '2', '7', '6', '5', '1', '8', '3', '12']",4.458297730212035,10.434608926493382
6.0,"['4', '7', '5', '6', '1', '8', '10', '14', '16']",4.57721966506462,10.919153229230545
3.0,"['4', '2', '7', '6', '5', '1', '8', '12', '10']",4.7934999862480945,11.460870565653082
6.0,"['4', '2', '7', '6', '5', '1', '8', '18', '3']",4.329998721956643,10.111310894608092
5.0,"['4', '2', '7', '6', '5', '1', '8', '10', '3']",4.182022429243585,9.817713589578023
6.0,"['4', '2', '7', '6', '5', '1', '8', '12', '10']",4.7934999862480945,11.460870565653082
4.0,"['4', '2', '7', '6', '5', '1', '8', '18', '10']",4.648604812228663,11.07718740068848
2.0,"['4', '2', '7', '8', '14', '5', '12', '10', '16']",4.435671726278359,10.541464028765034
1.0,"['4', '2', '7', '6', '5', '1', '8', '18', '3']",4.329998721956643,10.111310894608092
0.0,"['4', '2', '7', '6', '5', '1', '8', '9', '10']",4.76188452232497,11.341564203515734
6.0,"['4', '2', '7', '8', '6', '5', '12', '14', '10']",4.408455653368,10.32153686639882
3.0,"['6', '7', '2', '1', '5', '8', '9', '10', '3']",4.0954649108244965,9.356582278010602
4.0,"['4', '7', '2', '6', '8', '1', '5', '9', '3']",4.447410218017031,10.35088827012789
3.0,"['4', '7', '2', '1', '8', '6', '5', '9', '3']",4.455175564578525,10.319406540795867
