Score,Lineup,score2,vari
0.0,"['2', '8', '10', '9', '11', '3', '4', '12', '27']",4.463580919003853,10.592171849584272
7.0,"['2', '8', '3', '9', '11', '15', '4', '12', '27']",3.8965861074951627,9.0289546391992
0.0,"['2', '8', '5', '9', '11', '15', '4', '12', '3']",4.391219397446569,10.30075344579663
12.0,"['2', '8', '3', '9', '11', '15', '4', '12', '27']",3.8965861074951627,9.0289546391992
3.0,"['2', '8', '15', '9', '11', '5', '4', '12', '27']",3.978821194696328,9.220794470461724
16.0,"['2', '10', '9', '15', '8', '5', '11', '3', '12']",4.803343408438964,11.387706053825106
1.0,"['2', '8', '15', '9', '11', '3', '4', '12', '27']",3.8473282130587907,8.836166876859096
5.0,"['2', '8', '5', '9', '11', '3', '4', '12', '21']",4.3508968819342675,10.235718291749485
3.0,"['3', '10', '8', '5', '15', '4', '32', '19', '21']",2.608556962095437,5.234604524071156
1.0,"['3', '10', '11', '5', '15', '4', '17', '19', '21']",3.237949754545292,6.927440711693357
5.0,"['2', '8', '5', '9', '11', '15', '4', '12', '21']",4.1649661544259695,9.6534632161745
5.0,"['3', '10', '8', '5', '24', '15', '11', '17', '19']",3.756354450907357,8.513488453288904
5.0,"['3', '10', '11', '5', '24', '15', '4', '17', '19']",3.537814909284835,7.826399936538012
6.0,"['2', '3', '11', '5', '31', '10', '4', '17', '12']",3.515483892182155,7.871070582353383
3.0,"['3', '10', '24', '5', '15', '11', '17', '19', '4']",3.556122414439914,7.957606067450788
2.0,"['2', '3', '11', '5', '10', '4', '15', '12', '16']",4.004228037952271,9.10138091025139
5.0,"['3', '10', '24', '5', '15', '11', '17', '19', '2']",3.938419907142401,9.047845721109002
4.0,"['2', '3', '8', '5', '11', '10', '4', '12', '16']",4.335582028636242,10.181191834263867
0.0,"['3', '10', '24', '5', '15', '11', '17', '19', '16']",3.418373843199261,7.582814810260462
7.0,"['3', '24', '8', '10', '15', '4', '17', '19', '2']",3.6619232655764202,8.414417285922848
5.0,"['2', '8', '5', '9', '11', '3', '4', '12', '16']",4.320789711082308,10.150378935720966
4.0,"['14', '3', '6', '5', '8', '10', '15', '11', '17']",3.8162812153248553,8.65012644975422
5.0,"['2', '8', '5', '9', '11', '3', '4', '12', '15']",4.3882688576166,10.225752411334078
7.0,"['14', '3', '8', '5', '6', '2', '10', '15', '12']",4.318050764992916,10.072397799504405
0.0,"['2', '3', '9', '8', '10', '11', '12', '15', '4']",4.581497234381897,10.804669106449438
11.0,"['2', '3', '9', '5', '8', '6', '11', '12', '4']",4.437554942262934,10.491858678885386
4.0,"['2', '3', '9', '6', '8', '5', '11', '17', '16']",3.872158523027185,8.923106034064483
3.0,"['2', '3', '9', '6', '8', '5', '12', '15', '16']",3.8484866886541425,8.767142660507165
2.0,"['2', '3', '9', '8', '10', '12', '17', '16', '28']",3.813257797541796,8.945969838964668
4.0,"['14', '3', '6', '5', '10', '8', '15', '17', '2']",3.9017167043427308,8.988966635532993
6.0,"['2', '3', '5', '9', '6', '8', '17', '16', '28']",3.461935951312065,7.985672368576491
4.0,"['2', '3', '5', '9', '6', '8', '17', '16', '28']",3.461935951312065,7.985672368576491
3.0,"['2', '3', '6', '9', '10', '8', '12', '14', '16']",4.319156153230709,10.176711771207508
1.0,"['2', '3', '9', '5', '8', '6', '12', '16', '28']",3.866766600166276,9.095000248639524
4.0,"['14', '3', '6', '5', '10', '15', '13', '17', '16']",3.106705614403509,6.7606337669724095
6.0,"['2', '9', '5', '8', '12', '14', '16', '13', '17']",3.735469137534646,8.593519129606543
6.0,"['3', '10', '6', '5', '8', '13', '17', '2', '21']",3.526707219561034,7.85424133813555
5.0,"['2', '3', '5', '9', '6', '8', '13', '12', '16']",3.8072569572168207,8.690222678688544
2.0,"['3', '10', '2', '5', '6', '8', '13', '17', '16']",3.600177525258907,8.022081399718733
1.0,"['2', '3', '8', '5', '12', '13', '4', '17', '16']",3.2471049501867677,7.248052925605483
6.0,"['3', '10', '8', '5', '6', '4', '13', '17', '21']",3.2284142645863705,7.0217482406948974
4.0,"['2', '3', '5', '8', '6', '11', '13', '12', '17']",3.7057796947158947,8.420949510111653
7.0,"['2', '3', '8', '10', '11', '13', '12', '4', '17']",3.917856597596735,8.965602244206854
4.0,"['2', '3', '5', '8', '6', '11', '13', '12', '4']",3.9414653499546164,9.04837711592904
0.0,"['3', '10', '8', '5', '6', '2', '13', '1', '21']",3.825922693347003,8.651250299563776
7.0,"['10', '3', '5', '6', '11', '13', '1', '4', '21']",3.4688195455520447,7.631466679091197
4.0,"['2', '11', '5', '8', '12', '13', '1', '4', '16']",3.7411362952752687,8.495475301248884
4.0,"['2', '3', '5', '8', '6', '11', '12', '1', '16']",3.9097662257218375,8.988924998010523
1.0,"['2', '3', '6', '8', '12', '11', '13', '4', '16']",3.54264556614627,7.970449384214305
5.0,"['2', '3', '8', '5', '11', '6', '12', '13', '1']",3.9922895783264867,9.201793296690413
15.0,"['2', '12', '5', '8', '6', '11', '13', '1', '16']",3.714657901390853,8.418665270447473
3.0,"['2', '12', '5', '8', '6', '11', '13', '1', '16']",3.714657901390853,8.418665270447473
5.0,"['2', '11', '5', '8', '6', '12', '15', '4', '16']",3.7749108247982184,8.516057115945756
14.0,"['14', '5', '10', '6', '13', '1', '15', '4', '21']",3.283150093896758,7.134657167517448
1.0,"['2', '11', '5', '8', '6', '12', '13', '1', '4']",3.910175731393106,8.948200599785539
4.0,"['2', '5', '11', '10', '12', '6', '1', '13', '16']",3.9676941555072087,8.984519985160423
2.0,"['2', '5', '11', '6', '12', '13', '1', '4', '16']",3.5180639344372433,7.841200857042542
4.0,"['2', '5', '11', '10', '12', '6', '1', '13', '4']",4.122153661779059,9.428617832762665
3.0,"['2', '5', '10', '12', '6', '1', '13', '16', '14']",3.8459945172921266,8.765045084586959
10.0,"['2', '3', '9', '5', '8', '6', '11', '1', '4']",4.322736679206554,10.192258182872685
5.0,"['2', '3', '9', '8', '6', '11', '12', '13', '4']",4.090747324599021,9.477917859483082
6.0,"['2', '3', '9', '5', '8', '6', '12', '14', '13']",4.215169953548868,9.913656182823338
2.0,"['2', '9', '3', '8', '11', '12', '1', '13', '4']",4.127619147568536,9.619303306899958
0.0,"['2', '3', '9', '5', '8', '11', '6', '12', '4']",4.458077638509122,10.558186853839125
13.0,"['3', '9', '5', '8', '10', '11', '6', '12', '13']",4.413183512888628,10.242736245097184
