Score,Lineup,score2,vari
9.0,"['11', '7', '2', '5', '1', '6', '3', '8', '10']",5.5502855552123735,13.78177182965694
4.0,"['11', '9', '2', '5', '3', '6', '8', '13', '10']",4.812455141986476,11.416990750901025
9.0,"['11', '9', '2', '5', '1', '3', '8', '12', '10']",4.976568141812501,12.02655770642951
4.0,"['11', '9', '2', '5', '1', '3', '6', '8', '10']",5.100940697613126,12.340333436103698
1.0,"['10', '12', '2', '5', '1', '6', '8', '18', '17']",4.029264866135872,9.283962257332373
2.0,"['11', '9', '2', '5', '3', '12', '8', '10', '13']",4.677766211017175,11.074439157245685
0.0,"['11', '9', '2', '5', '1', '6', '3', '8', '10']",5.0923369285942695,12.31889019074957
6.0,"['10', '12', '2', '5', '1', '6', '17', '8', '18']",3.973706702557921,9.097341181614592
1.0,"['11', '9', '2', '5', '6', '3', '8', '13', '10']",4.803793245344421,11.418780572303916
4.0,"['11', '9', '2', '5', '1', '3', '8', '12', '10']",4.976568141812501,12.02655770642951
9.0,"['11', '10', '2', '5', '1', '6', '8', '18', '17']",4.1756556181518,9.6921492761271
7.0,"['11', '9', '2', '5', '1', '3', '6', '8', '17']",4.6609386288361385,11.067164707507306
0.0,"['11', '9', '2', '5', '1', '3', '6', '8', '10']",5.100940697613126,12.340333436103698
3.0,"['11', '9', '2', '5', '1', '3', '6', '12', '10']",4.92428485049183,11.868323462387426
3.0,"['11', '9', '2', '5', '3', '8', '7', '10', '13']",5.022219972998054,12.073055456260978
5.0,"['11', '9', '2', '5', '1', '3', '7', '8', '10']",5.331889782080523,13.087381057471998
3.0,"['11', '9', '1', '5', '3', '6', '7', '8', '10']",5.091474934898979,12.301996442088559
7.0,"['7', '2', '9', '1', '3', '6', '12', '17', '10']",4.506958588235715,10.705090323109168
14.0,"['10', '12', '2', '5', '1', '6', '8', '17', '13']",4.213804881084555,9.747719409558837
2.0,"['11', '9', '2', '5', '1', '3', '7', '8', '10']",5.331889782080523,13.087381057471998
