Score,Lineup,score2,vari
11.0,"['3', '4', '2', '8', '5', '1', '11', '14', '12']",5.741418159085366,14.074840786293784
16.0,"['3', '4', '2', '8', '5', '11', '9', '14', '12']",6.101263757812039,15.181965332424689
2.0,"['3', '4', '2', '8', '5', '11', '9', '1', '10']",6.164808367859836,15.219579568816826
0.0,"['3', '4', '2', '8', '5', '11', '1', '14', '12']",5.730426173068618,14.0473825582512
2.0,"['3', '4', '2', '8', '5', '11', '9', '14', '10']",6.227569690292412,15.559103324894814
5.0,"['3', '4', '2', '8', '5', '11', '9', '1', '10']",6.164808367859836,15.219579568816826
0.0,"['3', '4', '2', '8', '5', '11', '9', '14', '12']",6.101263757812039,15.181965332424689
3.0,"['3', '4', '2', '8', '5', '11', '9', '1', '10']",6.164808367859836,15.219579568816826
8.0,"['3', '4', '2', '8', '5', '12', '1', '6', '15']",5.084716524359086,12.067865549399645
11.0,"['3', '4', '2', '8', '11', '1', '12', '15', '6']",5.235924598594297,12.675532799220939
8.0,"['3', '4', '2', '8', '5', '1', '6', '14', '15']",5.292104143174641,12.71735090872578
1.0,"['3', '12', '2', '8', '5', '11', '14', '7', '18']",4.329225197297224,9.959949954381283
6.0,"['3', '12', '2', '8', '5', '1', '14', '6', '7']",4.976226076655607,12.110025192188694
2.0,"['3', '12', '2', '8', '5', '1', '11', '6', '7']",5.0564475938156574,12.310342327025289
9.0,"['3', '10', '2', '8', '5', '1', '11', '7', '15']",4.742226058180967,11.106445079191126
4.0,"['3', '6', '2', '5', '1', '11', '12', '14', '7']",4.891499550486378,12.10970915788543
12.0,"['3', '6', '2', '8', '5', '11', '10', '14', '18']",4.523951145279696,10.750179252204283
12.0,"['3', '6', '2', '8', '5', '1', '10', '12', '7']",4.948399871367422,11.970012446124176
4.0,"['3', '11', '2', '8', '5', '1', '10', '15', '7']",4.794162673101143,11.319224977444279
18.0,"['3', '6', '2', '8', '5', '1', '14', '12', '7']",5.0304939542861264,12.29983872751103
5.0,"['3', '11', '2', '8', '5', '1', '10', '7', '15']",4.789042919186274,11.298862006522821
6.0,"['3', '11', '2', '8', '5', '10', '7', '18', '15']",4.109571069579446,9.307799133102996
6.0,"['3', '6', '2', '8', '5', '1', '10', '12', '7']",4.948399871367422,11.970012446124176
3.0,"['3', '6', '2', '8', '5', '1', '11', '14', '12']",5.228894562795602,12.966862902815347
2.0,"['3', '11', '2', '8', '1', '10', '12', '7', '18']",4.330900014207106,9.981804054933026
5.0,"['3', '6', '2', '8', '5', '1', '11', '10', '7']",5.225988327575923,12.835956451465293
2.0,"['3', '6', '2', '8', '5', '1', '11', '10', '15']",4.847647738123205,11.656197964421388
15.0,"['3', '11', '2', '8', '5', '1', '10', '15', '7']",4.794162673101143,11.319224977444279
6.0,"['3', '6', '2', '8', '5', '1', '10', '11', '15']",4.83154869254233,11.633413590355126
7.0,"['3', '6', '2', '8', '5', '1', '10', '7', '18']",4.374854855896024,10.216732770502727
4.0,"['3', '11', '2', '8', '5', '1', '10', '7', '15']",4.789042919186274,11.298862006522821
10.0,"['3', '11', '2', '8', '5', '1', '10', '7', '6']",5.242839440791892,12.902223257816477
16.0,"['3', '11', '2', '8', '5', '1', '10', '7', '6']",5.242839440791892,12.902223257816477
2.0,"['3', '11', '2', '8', '5', '1', '10', '7', '18']",4.491390222519063,10.383061227255332
0.0,"['3', '10', '2', '8', '5', '1', '7', '14', '12']",4.943224556098604,11.811805898209105
4.0,"['3', '11', '2', '8', '5', '1', '10', '7', '12']",5.071987232303613,12.166775734153674
4.0,"['3', '11', '2', '8', '5', '1', '10', '7', '12']",5.071987232303613,12.166775734153674
7.0,"['3', '11', '2', '5', '1', '10', '16', '7', '15']",4.577194954599772,10.725250231389555
5.0,"['3', '11', '2', '8', '5', '10', '7', '12', '18']",4.344016800731055,9.971084492585522
11.0,"['3', '11', '2', '8', '5', '1', '10', '16', '7']",5.239422671464259,12.498057091904748
0.0,"['3', '11', '2', '8', '5', '1', '10', '12', '7']",5.072247610292606,12.169494794007573
7.0,"['3', '11', '2', '8', '5', '1', '10', '16', '7']",5.239422671464259,12.498057091904748
5.0,"['3', '4', '2', '8', '1', '11', '10', '12', '7']",5.55171360193336,13.433488349152817
7.0,"['3', '4', '2', '8', '5', '1', '11', '10', '7']",5.727938259782038,13.897008170353224
11.0,"['3', '4', '2', '8', '5', '11', '10', '7', '18']",4.918753877789936,11.372905811665188
