Score,Lineup,score2,vari
10.0,"['8', '4', '2', '6', '1', '9', '5', '3', '7']",4.801292807591401,11.602769279771703
1.0,"['8', '4', '2', '6', '5', '9', '11', '10', '7']",5.026672306850015,12.070982448718755
4.0,"['8', '4', '2', '6', '1', '5', '3', '11', '12']",4.306700824583593,10.132102739874924
5.0,"['8', '4', '2', '6', '1', '9', '5', '10', '7']",4.950211695298272,12.05549794280492
4.0,"['8', '4', '2', '5', '6', '3', '11', '12', '7']",4.331676104587738,10.143669934051097
3.0,"['8', '4', '2', '6', '5', '1', '9', '3', '10']",4.856825302007172,11.822491063606655
6.0,"['4', '2', '6', '5', '3', '9', '11', '10', '7']",4.897619513566599,11.734963947030234
4.0,"['8', '4', '2', '5', '3', '1', '12', '19', '7']",4.284763273351114,10.47148056534665
5.0,"['8', '4', '2', '5', '6', '1', '3', '9', '12']",4.618776312463885,11.131193391063814
12.0,"['8', '4', '2', '5', '6', '3', '12', '11', '7']",4.319426579873879,10.063228882052133
9.0,"['8', '4', '2', '6', '5', '9', '1', '10', '7']",4.9418837821389445,12.005364796831632
4.0,"['8', '4', '2', '5', '6', '3', '12', '11', '7']",4.319426579873879,10.063228882052133
1.0,"['8', '4', '2', '6', '1', '9', '3', '12', '10']",4.584196382806457,11.099435398641212
6.0,"['8', '4', '2', '6', '5', '9', '12', '11', '7']",4.789300542262456,11.357101992604882
5.0,"['8', '4', '2', '6', '5', '1', '3', '11', '7']",4.456330914501897,10.476551910050159
1.0,"['8', '4', '2', '5', '1', '3', '12', '19', '7']",4.284334534891979,10.466678495584379
2.0,"['8', '4', '2', '6', '5', '9', '11', '10', '7']",5.026672306850015,12.070982448718755
4.0,"['8', '4', '2', '6', '5', '1', '9', '3', '12']",4.6211886359334,11.128705508845414
1.0,"['8', '4', '2', '6', '5', '1', '3', '7', '18']",4.300302564335504,10.21540874422552
6.0,"['8', '4', '2', '5', '6', '9', '11', '10', '7']",5.027507928225073,12.07353686229401
2.0,"['8', '4', '2', '5', '6', '1', '9', '3', '12']",4.630995983062425,11.156159635977428
5.0,"['8', '4', '2', '6', '5', '1', '3', '11', '7']",4.456330914501897,10.476551910050159
5.0,"['4', '2', '6', '5', '1', '9', '3', '10', '7']",4.813076388360952,11.679385958181271
7.0,"['8', '4', '2', '6', '5', '9', '3', '11', '7']",4.880216928049736,11.609406078984946
8.0,"['8', '4', '2', '5', '6', '1', '3', '11', '12']",4.313470905101257,10.141710344132942
3.0,"['8', '4', '2', '5', '6', '1', '9', '3', '7']",4.799227522842157,11.58249485460328
1.0,"['8', '4', '2', '5', '6', '9', '11', '10', '7']",5.027507928225073,12.07353686229401
8.0,"['8', '4', '2', '5', '3', '1', '6', '11', '12']",4.301121182267085,10.12574519437753
5.0,"['4', '2', '5', '6', '3', '9', '11', '10', '7']",4.905345212235938,11.751046592660433
6.0,"['8', '4', '2', '5', '6', '3', '1', '11', '7']",4.470498004457749,10.511223983493771
3.0,"['8', '4', '2', '5', '6', '1', '3', '12', '7']",4.223465562518921,9.994675149240638
5.0,"['8', '4', '2', '6', '5', '9', '11', '10', '7']",5.026672306850015,12.070982448718755
4.0,"['8', '4', '2', '5', '1', '3', '6', '11', '12']",4.300625879668878,10.121951963854094
8.0,"['8', '4', '6', '5', '3', '9', '1', '10', '7']",4.686338433800997,11.334377622346462
10.0,"['8', '4', '6', '5', '9', '3', '11', '7', '12']",4.557345733967193,10.775486083098752
4.0,"['4', '2', '6', '5', '9', '1', '3', '7', '12']",4.576150392727993,10.951495473859584
1.0,"['4', '2', '6', '5', '3', '9', '11', '10', '7']",4.897619513566599,11.734963947030234
3.0,"['8', '4', '2', '6', '5', '1', '9', '3', '7']",4.790920212329059,11.561127452076217
5.0,"['8', '4', '2', '6', '5', '3', '9', '11', '7']",4.877915671151962,11.601004785574084
6.0,"['8', '4', '2', '6', '5', '3', '9', '11', '12']",4.7208631517607085,11.21954023734573
4.0,"['8', '4', '2', '6', '5', '3', '9', '1', '7']",4.786950077437574,11.549365697126177
3.0,"['8', '4', '2', '6', '5', '3', '11', '10', '7']",4.53229524325917,10.701327185665686
3.0,"['8', '4', '6', '5', '9', '3', '1', '11', '12']",4.545604801265784,10.776422963691687
2.0,"['8', '4', '5', '6', '3', '11', '1', '9', '12']",4.536749359527163,10.771365688183177
2.0,"['8', '4', '2', '6', '5', '9', '3', '11', '7']",4.880216928049736,11.609406078984946
5.0,"['8', '4', '2', '9', '5', '11', '6', '12', '7']",4.862791733835773,11.582956387247258
3.0,"['8', '4', '2', '9', '5', '3', '1', '18', '7']",4.832570186235158,11.71102444391164
4.0,"['8', '4', '2', '5', '6', '1', '3', '11', '7']",4.4641536894296685,10.499945729706479
20.0,"['8', '4', '2', '9', '5', '3', '6', '11', '7']",4.908698890296936,11.655979120275322
3.0,"['8', '4', '2', '5', '3', '11', '6', '14', '18']",4.5456687508834435,10.832361901660931
3.0,"['4', '6', '2', '9', '5', '18', '1', '7', '10']",4.822322100235512,11.636160502897184
3.0,"['8', '4', '2', '5', '9', '3', '6', '1', '7']",4.803509468561507,11.593423897318122
7.0,"['8', '4', '2', '9', '5', '3', '6', '7', '17']",5.265019747451514,13.106982928139917
3.0,"['8', '4', '2', '9', '5', '3', '6', '1', '10']",4.897061694473372,11.892344214060927
7.0,"['8', '4', '2', '9', '5', '3', '6', '1', '10']",4.897061694473372,11.892344214060927
2.0,"['8', '4', '2', '6', '5', '3', '1', '10', '7']",4.446323189597258,10.631517751820308
3.0,"['8', '4', '2', '6', '5', '3', '10', '7', '17']",4.867875246093747,12.030241590200397
3.0,"['8', '4', '2', '9', '5', '3', '6', '1', '7']",4.825471344826657,11.616810620588438
2.0,"['8', '4', '2', '9', '5', '3', '6', '1', '7']",4.825471344826657,11.616810620588438
6.0,"['8', '4', '2', '9', '5', '6', '3', '10', '17']",5.3658454232451,13.486033905807368
4.0,"['8', '4', '2', '5', '6', '3', '1', '10', '7']",4.458490081696125,10.66494957648072
5.0,"['8', '4', '2', '9', '3', '6', '1', '7', '12']",4.548245610402385,10.901484454645288
3.0,"['8', '4', '2', '9', '5', '6', '3', '7', '17']",5.276020320112875,13.15168390017163
3.0,"['8', '4', '2', '5', '1', '9', '3', '12', '7']",4.713949983210286,11.443688695473874
2.0,"['4', '2', '9', '5', '3', '6', '12', '10', '17']",5.164640488353435,12.899109339745564
4.0,"['8', '4', '9', '2', '5', '1', '3', '6', '12']",4.664562586138745,11.18157887295795
7.0,"['8', '4', '2', '5', '6', '3', '1', '18', '10']",4.383593376755434,10.508289037634121
6.0,"['8', '4', '2', '5', '3', '6', '1', '11', '7']",4.459833853488326,10.50004910342708
3.0,"['8', '4', '6', '2', '1', '5', '7', '3', '10']",4.431653669639827,10.61416176792084
2.0,"['8', '4', '6', '2', '3', '5', '7', '11', '10']",4.517049441175124,10.652007218629258
2.0,"['8', '3', '4', '2', '1', '5', '11', '6', '12']",4.313750770662043,10.229220981032658
2.0,"['8', '3', '4', '2', '6', '5', '11', '10', '7']",4.527405882392426,10.715419144923423
7.0,"['8', '3', '4', '2', '6', '1', '12', '16', '7']",4.1174779740949825,9.780618605123465
0.0,"['8', '6', '4', '2', '16', '5', '11', '10', '7']",4.609925091509295,10.94112074210734
2.0,"['8', '3', '4', '2', '6', '5', '11', '16', '7']",4.476911887827612,10.567586424633582
6.0,"['8', '3', '9', '2', '5', '10', '12', '7', '17']",5.1771120077649035,13.055583329013785
