Score,Lineup,score2,vari
2.0,"['8', '9', '5', '2', '1', '7', '3', '14', '4']",3.9415839562152577,9.224526514979539
1.0,"['3', '9', '2', '1', '13', '5', '8', '4', '14']",3.809783592380264,8.845480281070422
4.0,"['8', '9', '5', '2', '1', '7', '10', '3', '14']",3.9070308485594123,9.216305561997826
2.0,"['3', '9', '5', '2', '1', '8', '4', '10', '14']",3.919448938742805,9.166694557395362
6.0,"['8', '9', '5', '2', '7', '16', '12', '14', '4']",3.9662969220718116,9.274285002005337
2.0,"['8', '7', '5', '9', '1', '16', '6', '14', '4']",4.051328030606158,9.483030606716074
0.0,"['8', '7', '5', '9', '2', '1', '3', '14', '4']",3.9418908442582286,9.233159268634312
10.0,"['7', '5', '9', '2', '1', '3', '8', '4', '14']",3.9441396702569573,9.248491853658502
7.0,"['7', '6', '5', '9', '8', '16', '12', '14', '4']",4.23451407406238,9.93347641468744
6.0,"['7', '5', '2', '1', '6', '4', '8', '10', '14']",4.14454088906538,9.79613709105828
6.0,"['7', '8', '5', '9', '2', '1', '16', '14', '4']",3.8371003244060145,8.899372208580045
0.0,"['7', '5', '2', '9', '1', '8', '4', '16', '14']",3.854659344685637,9.00996983802127
2.0,"['7', '5', '2', '9', '1', '3', '8', '4', '14']",3.943871414302043,9.248677840862488
3.0,"['7', '2', '9', '5', '3', '1', '8', '4', '14']",3.9419865418416586,9.263409301408212
4.0,"['7', '2', '9', '5', '3', '1', '8', '4', '14']",3.9419865418416586,9.263409301408212
7.0,"['8', '2', '9', '5', '3', '1', '6', '4', '14']",4.18299685075676,9.855924395853485
0.0,"['8', '2', '9', '5', '3', '1', '6', '4', '14']",4.18299685075676,9.855924395853485
0.0,"['7', '2', '5', '9', '3', '1', '6', '4', '8']",4.093870806549775,9.511296416044331
3.0,"['8', '1', '5', '9', '3', '2', '6', '14', '4']",4.184167638117974,9.836600529283633
10.0,"['7', '5', '9', '3', '8', '2', '12', '4', '14']",4.093575719684582,9.628270904259157
1.0,"['7', '5', '9', '3', '1', '2', '6', '4', '14']",4.062288370813116,9.630006587160072
5.0,"['7', '3', '5', '9', '1', '2', '8', '4', '14']",3.938880824246784,9.240522514550552
4.0,"['7', '3', '5', '9', '1', '2', '8', '4', '14']",3.938880824246784,9.240522514550552
8.0,"['7', '5', '9', '1', '8', '6', '16', '14', '4']",4.0627820964450425,9.471993001071532
3.0,"['7', '5', '9', '6', '3', '8', '2', '12', '4']",4.254505168713031,9.902048809321673
1.0,"['7', '3', '5', '9', '1', '2', '6', '4', '14']",4.05512711099583,9.613676990336952
7.0,"['7', '3', '1', '9', '5', '2', '8', '4', '14']",3.925951442504506,9.216167583286637
1.0,"['7', '3', '5', '9', '1', '8', '2', '14', '4']",3.94923986850401,9.24620720442847
4.0,"['7', '3', '1', '9', '5', '2', '8', '4', '14']",3.925951442504506,9.216167583286637
2.0,"['7', '3', '1', '9', '5', '2', '8', '4', '14']",3.925951442504506,9.216167583286637
4.0,"['7', '3', '5', '9', '2', '8', '4', '6', '12']",4.21633418261916,9.839210806435968
1.0,"['7', '3', '1', '9', '5', '2', '8', '4', '14']",3.925951442504506,9.216167583286637
7.0,"['8', '3', '9', '1', '6', '2', '14', '16', '10']",3.7802307130224144,8.838594488980272
9.0,"['8', '3', '1', '9', '2', '7', '6', '4', '10']",3.8169589391392855,8.864306462787187
5.0,"['8', '3', '1', '9', '5', '2', '7', '4', '6']",4.072230057777149,9.458098887301496
1.0,"['8', '3', '1', '9', '5', '2', '7', '4', '11']",3.6683859427900525,8.379539817549285
11.0,"['8', '3', '9', '5', '7', '2', '6', '10', '12']",4.192816354925708,9.851179225295574
2.0,"['8', '3', '1', '9', '2', '5', '7', '4', '11']",3.666822397289917,8.399460863434484
3.0,"['8', '3', '9', '1', '7', '2', '5', '6', '4']",4.081853251554636,9.516886137360139
2.0,"['8', '3', '9', '5', '11', '2', '7', '4', '12']",3.7847687659622706,8.666064774952114
10.0,"['8', '3', '9', '1', '7', '5', '2', '6', '4']",4.08859464761962,9.515119111961866
4.0,"['8', '3', '9', '5', '1', '7', '2', '6', '4']",4.091193627736184,9.501966872987076
3.0,"['8', '3', '1', '2', '5', '13', '10', '7', '4']",3.6808301203694143,8.382267034061817
3.0,"['3', '8', '5', '13', '1', '2', '11', '4', '7']",3.5384485351290818,7.977341440143155
6.0,"['8', '3', '9', '5', '2', '6', '1', '7', '4']",4.096292798092715,9.516978034058905
5.0,"['8', '2', '9', '5', '13', '1', '10', '4', '7']",3.723457758574424,8.505072938774743
6.0,"['8', '5', '9', '6', '7', '2', '10', '16', '12']",4.072493506631463,9.445296800481675
4.0,"['8', '3', '5', '9', '13', '1', '2', '7', '4']",3.7419944705892436,8.532276540654962
5.0,"['8', '3', '9', '5', '6', '2', '1', '7', '4']",4.095969264533065,9.505395040435328
6.0,"['8', '3', '9', '5', '6', '2', '7', '12', '4']",4.238251183399536,9.877009687842545
12.0,"['8', '3', '9', '5', '13', '1', '2', '7', '4']",3.746944843148602,8.549930248748472
4.0,"['8', '3', '9', '5', '13', '1', '2', '7', '4']",3.746944843148602,8.549930248748472
2.0,"['8', '3', '9', '6', '2', '10', '16', '12', '7']",3.828234753305631,8.903519683134103
1.0,"['8', '3', '5', '9', '2', '13', '1', '4', '7']",3.7338712362420976,8.515436455631006
3.0,"['8', '3', '5', '9', '2', '13', '1', '4', '10']",3.7000444625886457,8.399713953524628
10.0,"['8', '3', '9', '13', '5', '2', '1', '4', '7']",3.7270055303180905,8.546400936538376
8.0,"['8', '3', '5', '9', '13', '2', '1', '4', '7']",3.7359777908775613,8.525692181393715
2.0,"['8', '3', '5', '9', '2', '1', '4', '13', '7']",3.74540827313878,8.570083155459143
3.0,"['8', '3', '9', '5', '6', '2', '10', '12', '7']",4.194713714434268,9.84276547122499
5.0,"['8', '3', '9', '5', '6', '1', '2', '7', '4']",4.100737021258711,9.510561293203054
2.0,"['8', '3', '5', '9', '13', '2', '12', '4', '7']",3.8726788415249267,8.879678977929387
2.0,"['8', '3', '9', '5', '2', '1', '13', '4', '7']",3.7437322391540286,8.560538584776674
4.0,"['8', '3', '9', '5', '6', '7', '16', '10', '12']",4.041402394979284,9.38310328989402
6.0,"['8', '3', '9', '5', '13', '1', '2', '4', '7']",3.7452749322993486,8.554520252334152
1.0,"['8', '3', '9', '5', '13', '1', '2', '4', '7']",3.7452749322993486,8.554520252334152
4.0,"['8', '5', '9', '6', '1', '10', '2', '7', '4']",4.0761268081732025,9.398878584232673
4.0,"['8', '3', '5', '13', '1', '2', '6', '4', '7']",3.9448233936916925,9.086224919135182
5.0,"['8', '3', '5', '9', '13', '1', '2', '14', '4']",3.8259470128744986,8.855301716591416
2.0,"['8', '3', '5', '9', '6', '2', '12', '14', '4']",4.33684074191461,10.241033378053523
2.0,"['8', '3', '9', '1', '6', '16', '2', '10', '14']",3.7792232992280095,8.889435107668133
6.0,"['8', '3', '5', '9', '1', '13', '2', '14', '4']",3.8310365780597495,8.860829896150976
3.0,"['8', '3', '5', '9', '6', '2', '12', '14', '4']",4.33684074191461,10.241033378053523
3.0,"['8', '3', '5', '9', '13', '1', '2', '18', '4']",3.343025418073289,7.406444125654465
3.0,"['8', '3', '5', '6', '1', '16', '12', '18', '4']",3.693018620021913,8.22421493348333
3.0,"['8', '3', '5', '9', '13', '1', '2', '18', '4']",3.343025418073289,7.406444125654465
2.0,"['8', '3', '5', '9', '13', '1', '2', '18', '4']",3.343025418073289,7.406444125654465
8.0,"['8', '3', '5', '9', '13', '1', '2', '18', '4']",3.343025418073289,7.406444125654465
4.0,"['8', '3', '5', '9', '13', '1', '2', '18', '4']",3.343025418073289,7.406444125654465
7.0,"['8', '3', '5', '9', '13', '1', '2', '4', '18']",3.359879123285414,7.477584930051028
4.0,"['8', '3', '5', '1', '2', '10', '13', '18', '12']",3.42607162734921,7.621928715766311
2.0,"['8', '3', '5', '9', '1', '6', '2', '18', '4']",3.674639155165542,8.274663003464878
